condition,fsm,task,beta,sum_log_p,count
visible_beta,easy,prediction,0.0,-103.9720770839918,15.0
visible_beta,easy,prediction,0.02,-95.5187421811618,15.0
visible_beta,easy,prediction,0.04,-88.08737212109716,15.0
visible_beta,easy,prediction,0.06,-81.65492868016922,15.0
visible_beta,easy,prediction,0.08,-76.18456584280754,15.0
visible_beta,easy,prediction,0.1,-71.627748466225,15.0
visible_beta,easy,prediction,0.12,-67.92684861408536,15.0
visible_beta,easy,prediction,0.14,-65.01794202287712,15.0
visible_beta,easy,prediction,0.16,-62.83354786376929,15.0
visible_beta,easy,prediction,0.18,-61.305109427680726,15.0
visible_beta,easy,prediction,0.2,-60.36508388792508,15.0
visible_beta,easy,prediction,0.22,-59.94857948842497,15.0
visible_beta,easy,prediction,0.24,-59.99453700370396,15.0
visible_beta,easy,prediction,0.26,-60.44649378297929,15.0
visible_beta,easy,prediction,0.28,-61.252992799823275,15.0
visible_beta,easy,prediction,0.3,-62.36770868054177,15.0
visible_beta,easy,prediction,0.32,-63.74936176335154,15.0
visible_beta,easy,prediction,0.34,-65.3614838997896,15.0
visible_beta,easy,prediction,0.36,-67.17208926356624,15.0
visible_beta,easy,prediction,0.38,-69.1532922286826,15.0
visible_beta,easy,prediction,0.4,-71.28090386655005,15.0
visible_beta,easy,prediction,0.42,-73.53402953524142,15.0
visible_beta,easy,prediction,0.44,-75.89468265230434,15.0
visible_beta,easy,prediction,0.46,-78.34742401989772,15.0
visible_beta,easy,prediction,0.48,-80.87903181716923,15.0
visible_beta,easy,prediction,0.5,-83.47820433895876,15.0
visible_beta,easy,prediction,0.52,-86.1352954867131,15.0
visible_beta,easy,prediction,0.54,-88.84208167619924,15.0
visible_beta,easy,prediction,0.56,-91.59155802323997,15.0
visible_beta,easy,prediction,0.58,-94.37776124805171,15.0
visible_beta,easy,prediction,0.6,-97.19561658124253,15.0
visible_beta,easy,prediction,0.62,-100.04080597074038,15.0
visible_beta,easy,prediction,0.64,-102.9096550138267,15.0
visible_beta,easy,prediction,0.66,-105.79903622603923,15.0
visible_beta,easy,prediction,0.68,-108.70628647715738,15.0
visible_beta,easy,prediction,0.7,-111.62913665261547,15.0
visible_beta,easy,prediction,0.72,-114.56565182286242,15.0
visible_beta,easy,prediction,0.74,-117.51418041517627,15.0
visible_beta,easy,prediction,0.76,-120.47331107764069,15.0
visible_beta,easy,prediction,0.78,-123.44183610140502,15.0
visible_beta,easy,prediction,0.8,-126.41872042452584,15.0
visible_beta,easy,prediction,0.82,-129.4030753792043,15.0
visible_beta,easy,prediction,0.84,-132.39413646529965,15.0
visible_beta,easy,prediction,0.86,-135.3912445380836,15.0
visible_beta,easy,prediction,0.88,-138.3938298889762,15.0
visible_beta,easy,prediction,0.9,-141.40139877604173,15.0
visible_beta,easy,prediction,0.92,-144.41352202784395,15.0
visible_beta,easy,prediction,0.94,-147.42982540148247,15.0
visible_beta,easy,prediction,0.96,-150.44998142419044,15.0
visible_beta,easy,prediction,0.98,-153.4737024895211,15.0
visible_beta,easy,prediction,1.0,-156.5007350140627,15.0
visible_beta,easy,prediction,1.02,-159.53085449091972,15.0
visible_beta,easy,prediction,1.04,-162.56386130086642,15.0
visible_beta,easy,prediction,1.06,-165.59957716440059,15.0
visible_beta,easy,prediction,1.08,-168.637842135174,15.0
visible_beta,easy,prediction,1.1,-171.67851205118083,15.0
visible_beta,easy,prediction,1.12,-174.721456373126,15.0
visible_beta,easy,prediction,1.14,-177.76655634974293,15.0
visible_beta,easy,prediction,1.16,-180.81370345991704,15.0
visible_beta,easy,prediction,1.18,-183.86279808879138,15.0
visible_beta,easy,prediction,1.2,-186.91374840138087,15.0
visible_beta,easy,prediction,1.22,-189.96646938436842,15.0
visible_beta,easy,prediction,1.24,-193.0208820287034,15.0
visible_beta,easy,prediction,1.26,-196.07691263228097,15.0
visible_beta,easy,prediction,1.28,-199.1344922041416,15.0
visible_beta,easy,prediction,1.3,-202.1935559551291,15.0
visible_beta,easy,prediction,1.32,-205.254042860124,15.0
visible_beta,easy,prediction,1.34,-208.31589528177994,15.0
visible_beta,easy,prediction,1.36,-211.3790586491402,15.0
visible_beta,easy,prediction,1.38,-214.44348117686013,15.0
visible_beta,easy,prediction,1.4,-217.5091136243733,15.0
visible_beta,easy,prediction,1.42,-220.5759090855753,15.0
visible_beta,easy,prediction,1.44,-223.64382280677646,15.0
visible_beta,easy,prediction,1.46,-226.71281202788737,15.0
visible_beta,easy,prediction,1.48,-229.78283583890308,15.0
visible_beta,easy,prediction,1.5,-232.85385506321802,15.0
visible_beta,easy,prediction,1.52,-235.92583214113387,15.0
visible_beta,easy,prediction,1.54,-238.99873103380077,15.0
visible_beta,easy,prediction,1.56,-242.0725171452296,15.0
visible_beta,easy,prediction,1.58,-245.14715722765823,15.0
visible_beta,easy,prediction,1.6,-248.22261933372138,15.0
visible_beta,easy,prediction,1.62,-251.29887272849822,15.0
visible_beta,easy,prediction,1.64,-254.37588784761488,15.0
visible_beta,easy,prediction,1.66,-257.4536362386922,15.0
visible_beta,easy,prediction,1.68,-260.53209050404166,15.0
visible_beta,easy,prediction,1.7,-263.6112242972473,15.0
visible_beta,easy,prediction,1.72,-266.6910121838002,15.0
visible_beta,easy,prediction,1.74,-269.7714297276479,15.0
visible_beta,easy,prediction,1.76,-272.85245337455603,15.0
visible_beta,easy,prediction,1.78,-275.93406040607744,15.0
visible_beta,easy,prediction,1.8,-279.01622895650155,15.0
visible_beta,easy,prediction,1.82,-282.09893799242366,15.0
visible_beta,easy,prediction,1.84,-285.18216717399605,15.0
visible_beta,easy,prediction,1.86,-288.2658969508368,15.0
visible_beta,easy,prediction,1.88,-291.35010845303196,15.0
visible_beta,easy,prediction,1.9,-294.4347836203781,15.0
visible_beta,easy,prediction,1.92,-297.5199049439456,15.0
visible_beta,easy,prediction,1.94,-300.6054555217863,15.0
visible_beta,easy,prediction,1.96,-303.69141905365586,15.0
visible_beta,easy,prediction,1.98,-306.7777802000664,15.0
visible_beta,easy,prediction,2.0,-309.864523659797,15.0
visible_beta,easy,prediction,2.02,-312.9516348093932,15.0
visible_beta,easy,prediction,2.04,-316.0390999068571,15.0
visible_beta,easy,prediction,2.06,-319.1269056396573,15.0
visible_beta,easy,prediction,2.08,-322.2150388485421,15.0
visible_beta,easy,prediction,2.1,-325.30348700028736,15.0
visible_beta,easy,prediction,2.12,-328.3922381614999,15.0
visible_beta,easy,prediction,2.14,-331.4812808639695,15.0
visible_beta,easy,prediction,2.16,-334.57060358619714,15.0
visible_beta,easy,prediction,2.18,-337.6601956265275,15.0
visible_beta,easy,prediction,2.2,-340.75004768144726,15.0
visible_beta,easy,prediction,2.22,-343.84014945565843,15.0
visible_beta,easy,prediction,2.24,-346.93048879033654,15.0
visible_beta,easy,prediction,2.26,-350.02106214326307,15.0
visible_beta,easy,prediction,2.28,-353.1118540653205,15.0
visible_beta,easy,prediction,2.3,-356.2028608562536,15.0
visible_beta,easy,prediction,2.32,-359.2940708444552,15.0
visible_beta,easy,prediction,2.34,-362.3854786659484,15.0
visible_beta,easy,prediction,2.36,-365.47707902844115,15.0
visible_beta,easy,prediction,2.38,-368.56885905668935,15.0
visible_beta,easy,prediction,2.4,-371.6608156316198,15.0
visible_beta,easy,prediction,2.42,-374.7529397807035,15.0
visible_beta,easy,prediction,2.44,-377.8452231142912,15.0
visible_beta,easy,prediction,2.46,-380.9376680314212,15.0
visible_beta,easy,prediction,2.48,-384.03025477543247,15.0
visible_beta,easy,prediction,2.5,-387.12299356348325,15.0
visible_beta,easy,prediction,2.52,-390.21586949290617,15.0
visible_beta,easy,prediction,2.54,-393.3088602109583,15.0
visible_beta,easy,prediction,2.56,-396.4020040320492,15.0
visible_beta,easy,prediction,2.58,-399.49527269027556,15.0
visible_beta,easy,prediction,2.6,-402.58861697004056,15.0
visible_beta,easy,prediction,2.62,-405.6821212731517,15.0
visible_beta,easy,prediction,2.64,-408.77575666478344,15.0
visible_beta,easy,prediction,2.66,-411.8694351346294,15.0
visible_beta,easy,prediction,2.68,-414.9632232499547,15.0
visible_beta,easy,prediction,2.7,-418.0570961798381,15.0
visible_beta,easy,prediction,2.72,-421.1510913621051,15.0
visible_beta,easy,prediction,2.74,-424.24519729211954,15.0
visible_beta,easy,prediction,2.76,-427.33941239894125,15.0
visible_beta,easy,prediction,2.78,-430.4336494298063,15.0
visible_beta,easy,prediction,2.8,-433.5280291068538,15.0
visible_beta,easy,prediction,2.82,-436.6223080279166,15.0
visible_beta,easy,prediction,2.84,-439.71667978821677,15.0
visible_beta,easy,prediction,2.86,-442.8110583696062,15.0
visible_beta,easy,prediction,2.88,-445.906061975769,15.0
visible_beta,easy,prediction,2.9,-449.0008150589069,15.0
visible_beta,easy,prediction,2.92,-452.0950986765673,15.0
visible_beta,easy,prediction,2.94,-455.1903674025757,15.0
visible_beta,easy,prediction,2.96,-458.28483609570964,15.0
visible_beta,easy,prediction,2.98,-461.38048336056784,15.0
visible_beta,easy,prediction,3.0,-464.4752170273501,15.0
visible_beta,easy,prediction,3.02,-467.569879232006,15.0
visible_beta,easy,prediction,3.04,-470.66458288766444,15.0
visible_beta,easy,prediction,3.06,-473.76190804324466,15.0
visible_beta,easy,prediction,3.08,-476.8549910288393,15.0
visible_beta,easy,prediction,3.1,-479.94875395402374,15.0
visible_beta,easy,prediction,3.12,-483.04592379910514,15.0
visible_beta,easy,prediction,3.14,-486.1392841937187,15.0
visible_beta,easy,prediction,3.16,-489.2349237567633,15.0
visible_beta,easy,prediction,3.18,-492.33210374348886,15.0
visible_beta,easy,prediction,3.2,-495.4303905797578,15.0
visible_beta,easy,prediction,3.22,-498.5202078974582,15.0
visible_beta,easy,prediction,3.24,-501.60812415274654,15.0
visible_beta,easy,prediction,3.26,-504.71227623176605,15.0
visible_beta,easy,prediction,3.28,-507.810452235614,15.0
visible_beta,easy,prediction,3.3,-510.90780342253606,15.0
visible_beta,easy,prediction,3.32,-513.9898943575453,15.0
visible_beta,easy,prediction,3.34,-517.0933893855164,15.0
visible_beta,easy,prediction,3.36,-520.1879895802547,15.0
visible_beta,easy,prediction,3.38,-523.2979306775558,15.0
visible_beta,easy,prediction,3.4,-526.3598592453428,15.0
visible_beta,easy,prediction,3.42,-529.4678111428575,15.0
visible_beta,easy,prediction,3.44,-532.5841603088253,15.0
visible_beta,easy,prediction,3.46,-535.7103645259746,15.0
visible_beta,easy,prediction,3.48,-538.7704439737504,15.0
visible_beta,easy,prediction,3.5,-541.8631496719337,15.0
visible_beta,easy,prediction,3.52,-545.0664084607017,15.0
visible_beta,easy,prediction,3.54,-548.0649753531543,15.0
visible_beta,easy,prediction,3.56,-551.2048097484982,15.0
visible_beta,easy,prediction,3.58,-554.2800464463761,15.0
visible_beta,easy,prediction,3.6,-557.1738762568303,15.0
visible_beta,easy,prediction,3.62,-560.3549342576155,15.0
visible_beta,easy,prediction,3.64,-563.1784452062566,15.0
visible_beta,easy,prediction,3.66,-566.7215070320011,15.0
visible_beta,easy,prediction,3.68,-569.6921051118597,15.0
visible_beta,easy,prediction,3.7,-572.9986943370296,15.0
visible_beta,easy,prediction,3.72,-575.9445550163987,15.0
visible_beta,easy,prediction,3.74,-578.2165028009409,15.0
visible_beta,easy,prediction,3.76,-581.6837757455269,15.0
visible_beta,easy,prediction,3.78,-584.2987338083617,15.0
visible_beta,easy,prediction,3.8,-588.7889185064594,15.0
visible_beta,easy,prediction,3.82,-592.2281725822637,15.0
visible_beta,easy,prediction,3.84,-593.6624019021239,15.0
visible_beta,easy,prediction,3.86,-601.2968974043849,15.0
visible_beta,easy,prediction,3.88,-602.7113010686836,15.0
visible_beta,easy,prediction,3.9,-604.206772429404,15.0
visible_beta,easy,prediction,3.92,-605.6389656173488,15.0
visible_beta,easy,prediction,3.94,-607.1042371676754,15.0
visible_beta,easy,prediction,3.96,-608.4462315562141,15.0
visible_beta,easy,prediction,3.98,-616.1270104404455,15.0
hidden_beta,easy,prediction,0.0,-103.9720770839918,15.0
hidden_beta,easy,prediction,0.02,-101.4974923073814,15.0
hidden_beta,easy,prediction,0.04,-99.67752810413288,15.0
hidden_beta,easy,prediction,0.06,-98.50075016566265,15.0
hidden_beta,easy,prediction,0.08,-97.94871497973432,15.0
hidden_beta,easy,prediction,0.1,-97.99682317518224,15.0
hidden_beta,easy,prediction,0.12,-98.61539232363103,15.0
hidden_beta,easy,prediction,0.14,-99.77085285755916,15.0
hidden_beta,easy,prediction,0.16,-101.42697214040454,15.0
hidden_beta,easy,prediction,0.18,-103.54602453935811,15.0
hidden_beta,easy,prediction,0.2,-106.08984527596061,15.0
hidden_beta,easy,prediction,0.22,-109.0207282788952,15.0
hidden_beta,easy,prediction,0.24,-112.30214946660155,15.0
hidden_beta,easy,prediction,0.26,-115.89931440948571,15.0
hidden_beta,easy,prediction,0.28,-119.77954208678328,15.0
hidden_beta,easy,prediction,0.3,-123.91250445664525,15.0
hidden_beta,easy,prediction,0.32,-128.270345465695,15.0
hidden_beta,easy,prediction,0.34,-132.82770390375637,15.0
hidden_beta,easy,prediction,0.36,-137.56166316028254,15.0
hidden_beta,easy,prediction,0.38,-142.45164833398067,15.0
hidden_beta,easy,prediction,0.4,-147.4792879642393,15.0
hidden_beta,easy,prediction,0.42,-152.6282543683845,15.0
hidden_beta,easy,prediction,0.44,-157.88409348294118,15.0
hidden_beta,easy,prediction,0.46,-163.23405238368963,15.0
hidden_beta,easy,prediction,0.48,-168.66691036507905,15.0
hidden_beta,easy,prediction,0.5,-174.17281759813176,15.0
hidden_beta,easy,prediction,0.52,-179.7431439241519,15.0
hidden_beta,easy,prediction,0.54,-185.37033922796178,15.0
hidden_beta,easy,prediction,0.56,-191.04780601170185,15.0
hidden_beta,easy,prediction,0.58,-196.7697842026152,15.0
hidden_beta,easy,prediction,0.6,-202.5312478253048,15.0
hidden_beta,easy,prediction,0.62,-208.32781290751848,15.0
hidden_beta,easy,prediction,0.64,-214.15565583288182,15.0
hidden_beta,easy,prediction,0.66,-220.01144127553675,15.0
hidden_beta,easy,prediction,0.68,-225.89225882789844,15.0
hidden_beta,easy,prediction,0.7,-231.79556744650148,15.0
hidden_beta,easy,prediction,0.72,-237.71914687924647,15.0
hidden_beta,easy,prediction,0.74,-243.66105529070052,15.0
hidden_beta,easy,prediction,0.76,-249.6195923635867,15.0
hidden_beta,easy,prediction,0.78,-255.59326721934286,15.0
hidden_beta,easy,prediction,0.8,-261.58077056532164,15.0
hidden_beta,easy,prediction,0.82,-267.5809505386369,15.0
hidden_beta,easy,prediction,0.84,-273.59279177548984,15.0
hidden_beta,easy,prediction,0.86,-279.61539728923714,15.0
hidden_beta,easy,prediction,0.88,-285.6479727902256,15.0
hidden_beta,easy,prediction,0.9,-291.68981312527535,15.0
hidden_beta,easy,prediction,0.92,-297.74029055501234,15.0
hidden_beta,easy,prediction,0.94,-303.7988446230476,15.0
hidden_beta,easy,prediction,0.96,-309.86497340275565,15.0
