participant_id,condition,fsm,task,beta,sum_log_p
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.856106431326163
97,visible_beta,hard,control,0.02,-6.796590198822273
97,visible_beta,hard,control,0.03,-6.7528443457552525
97,visible_beta,hard,control,0.04,-6.724738808346112
97,visible_beta,hard,control,0.05,-6.712093993164578
97,visible_beta,hard,control,0.06,-6.71468318300884
97,visible_beta,hard,control,0.07,-6.732235506963869
97,visible_beta,hard,control,0.08,-6.764439391078376
97,visible_beta,hard,control,0.09,-6.8109463964811745
97,visible_beta,hard,control,0.1,-6.871375346387168
97,visible_beta,hard,control,0.11,-6.945316642248923
97,visible_beta,hard,control,0.12,-7.03233667196675
97,visible_beta,hard,control,0.13,-7.131982219053139
97,visible_beta,hard,control,0.14,-7.243784790296118
97,visible_beta,hard,control,0.15,-7.367264790050749
97,visible_beta,hard,control,0.16,-7.501935481072816
97,visible_beta,hard,control,0.17,-7.647306684102674
97,visible_beta,hard,control,0.18,-7.802888180604025
97,visible_beta,hard,control,0.19,-7.968192794664233
97,visible_beta,hard,control,0.2,-8.142739140691782
97,visible_beta,hard,control,0.21,-8.326054032944974
97,visible_beta,hard,control,0.22,-8.517674560945315
97,visible_beta,hard,control,0.23,-8.717149841417514
97,visible_beta,hard,control,0.24,-8.924042462580342
97,visible_beta,hard,control,0.25,-9.137929640471661
97,visible_beta,hard,control,0.26,-9.35840410965097
97,visible_beta,hard,control,0.27,-9.585074772231017
97,visible_beta,hard,control,0.28,-9.81756712990543
97,visible_beta,hard,control,0.29,-10.055523523620622
97,visible_beta,hard,control,0.3,-10.29860320493935
97,visible_beta,hard,control,0.31,-10.546482262098548
97,visible_beta,hard,control,0.32,-10.798853422399066
97,visible_beta,hard,control,0.33,-11.055425750985592
97,visible_beta,hard,control,0.34,-11.315924264369276
97,visible_beta,hard,control,0.35,-11.580089475286783
97,visible_beta,hard,control,0.36,-11.84767688373288
97,visible_beta,hard,control,0.37,-12.118456427294388
97,visible_beta,hard,control,0.38,-12.392211902281526
97,visible_beta,hard,control,0.39,-12.668740365621415
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.6542791281871665
97,visible_beta,hard,control,0.02,-6.389766651729102
97,visible_beta,hard,control,0.03,-6.137866751431908
97,visible_beta,hard,control,0.04,-5.898467837614424
97,visible_beta,hard,control,0.05,-5.671415995269017
97,visible_beta,hard,control,0.06,-5.45651720583578
97,visible_beta,hard,control,0.07,-5.253540082492818
97,visible_beta,hard,control,0.08,-5.062219037187518
97,visible_beta,hard,control,0.09,-4.882257788704251
97,visible_beta,hard,control,0.1,-4.713333116469833
97,visible_beta,hard,control,0.11,-4.555098764423042
97,visible_beta,hard,control,0.12,-4.407189402738105
97,visible_beta,hard,control,0.13,-4.269224561911051
97,visible_beta,hard,control,0.14,-4.140812462976837
97,visible_beta,hard,control,0.15,-4.021553678650288
97,visible_beta,hard,control,0.16,-3.9110445722081626
97,visible_beta,hard,control,0.17,-3.8088804732484096
97,visible_beta,hard,control,0.18,-3.7146585614712686
97,visible_beta,hard,control,0.19,-3.6279804408440826
97,visible_beta,hard,control,0.2,-3.5484543965878217
97,visible_beta,hard,control,0.21,-3.4756973361356476
97,visible_beta,hard,control,0.22,-3.4093364224542775
97,visible_beta,hard,control,0.23,-3.349010413874952
97,visible_beta,hard,control,0.24,-3.294370728915222
97,visible_beta,hard,control,0.25,-3.245082257601879
97,visible_beta,hard,control,0.26,-3.2008239426802927
97,visible_beta,hard,control,0.27,-3.161289154984875
97,visible_beta,hard,control,0.28,-3.1261858873227997
97,visible_beta,hard,control,0.29,-3.0952367906559095
97,visible_beta,hard,control,0.3,-3.0681790753090987
97,visible_beta,hard,control,0.31,-3.044764298525185
97,visible_beta,hard,control,0.32,-3.0247580580453053
97,visible_beta,hard,control,0.33,-3.0079396096194118
97,visible_beta,hard,control,0.34,-2.9941014245236963
97,visible_beta,hard,control,0.35,-2.9830487013436184
97,visible_beta,hard,control,0.36,-2.9745988445200053
97,visible_beta,hard,control,0.37,-2.9685809204854303
97,visible_beta,hard,control,0.38,-2.964835100661558
97,visible_beta,hard,control,0.39,-2.963212099159259
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.709655183294587
97,visible_beta,hard,control,0.02,-6.504718376711208
97,visible_beta,hard,control,0.03,-6.316565267428804
97,visible_beta,hard,control,0.04,-6.145037317191633
97,visible_beta,hard,control,0.05,-5.989915998389599
97,visible_beta,hard,control,0.06,-5.850926083809102
97,visible_beta,hard,control,0.07,-5.727739690474006
97,visible_beta,hard,control,0.08,-5.619980952648579
97,visible_beta,hard,control,0.09,-5.527231185827285
97,visible_beta,hard,control,0.1,-5.449034397059277
97,visible_beta,hard,control,0.11,-5.384902997032455
97,visible_beta,hard,control,0.12,-5.334323575342582
97,visible_beta,hard,control,0.13,-5.296762611347884
97,visible_beta,hard,control,0.14,-5.271672007809494
97,visible_beta,hard,control,0.15,-5.258494351909447
97,visible_beta,hard,control,0.16,-5.256667827009931
97,visible_beta,hard,control,0.17,-5.265630717568151
97,visible_beta,hard,control,0.18,-5.284825468016526
97,visible_beta,hard,control,0.19,-5.313702273427306
97,visible_beta,hard,control,0.2,-5.3517221948859515
97,visible_beta,hard,control,0.21,-5.398359805384084
97,visible_beta,hard,control,0.22,-5.453105382576711
97,visible_beta,hard,control,0.23,-5.515466672944472
97,visible_beta,hard,control,0.24,-5.584970257889098
97,visible_beta,hard,control,0.25,-5.661162556277686
97,visible_beta,hard,control,0.26,-5.743610500196028
97,visible_beta,hard,control,0.27,-5.831901921452204
97,visible_beta,hard,control,0.28,-5.925645685969443
97,visible_beta,hard,control,0.29,-6.024471611888275
97,visible_beta,hard,control,0.3,-6.128030205204222
97,visible_beta,hard,control,0.31,-6.235992244311028
97,visible_beta,hard,control,0.32,-6.348048242079733
97,visible_beta,hard,control,0.33,-6.463907811227614
97,visible_beta,hard,control,0.34,-6.583298955834691
97,visible_beta,hard,control,0.35,-6.705967309036726
97,visible_beta,hard,control,0.36,-6.8316753342278815
97,visible_beta,hard,control,0.37,-6.960201504586059
97,visible_beta,hard,control,0.38,-7.091339473417826
97,visible_beta,hard,control,0.39,-7.224897245721163
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-7.000390011165114
97,visible_beta,hard,control,0.02,-7.086517640323887
97,visible_beta,hard,control,0.03,-7.189763139226443
97,visible_beta,hard,control,0.04,-7.309975397692268
97,visible_beta,hard,control,0.05,-7.446945919613956
97,visible_beta,hard,control,0.06,-7.600411766386045
97,visible_beta,hard,control,0.07,-7.7700591844230225
97,visible_beta,hard,control,0.08,-7.955527810698893
97,visible_beta,hard,control,0.09,-8.15641533837485
97,visible_beta,hard,control,0.1,-8.372282518240999
97,visible_beta,hard,control,0.11,-8.602658370763038
97,visible_beta,hard,control,0.12,-8.847045487541775
97,visible_beta,hard,control,0.13,-9.104925309248662
97,visible_beta,hard,control,0.14,-9.375763278707348
97,visible_beta,hard,control,0.15,-9.659013781778398
97,visible_beta,hard,control,0.16,-9.954124804101014
97,visible_beta,hard,control,0.17,-10.26054224764828
97,visible_beta,hard,control,0.18,-10.577713866677614
97,visible_beta,hard,control,0.19,-10.905092797370749
97,visible_beta,hard,control,0.2,-11.24214066878696
97,visible_beta,hard,control,0.21,-11.588330294387719
97,visible_beta,hard,control,0.22,-11.9431479531659
97,visible_beta,hard,control,0.23,-12.30609527728723
97,visible_beta,hard,control,0.24,-12.676690769185836
97,visible_beta,hard,control,0.25,-13.05447097538082
97,visible_beta,hard,control,0.26,-13.438991347078943
97,visible_beta,hard,control,0.27,-13.829826819107993
97,visible_beta,hard,control,0.28,-14.226572139104363
97,visible_beta,hard,control,0.29,-14.628841978372389
97,visible_beta,hard,control,0.3,-15.036270854642243
97,visible_beta,hard,control,0.31,-15.44851289525975
97,visible_beta,hard,control,0.32,-15.865241467303452
97,visible_beta,hard,control,0.33,-16.286148698874907
97,visible_beta,hard,control,0.34,-16.71094491345791
97,visible_beta,hard,control,0.35,-17.139357996877138
97,visible_beta,hard,control,0.36,-17.57113271407471
97,visible_beta,hard,control,0.37,-18.00602999071231
97,visible_beta,hard,control,0.38,-18.44382617253119
97,visible_beta,hard,control,0.39,-18.884312273485254
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.887313637872383
97,visible_beta,hard,control,0.02,-6.855865544623887
97,visible_beta,hard,control,0.03,-6.837071742021281
97,visible_beta,hard,control,0.04,-6.83084002487311
97,visible_beta,hard,control,0.05,-6.837042896166017
97,visible_beta,hard,control,0.06,-6.855519105031732
97,visible_beta,hard,control,0.07,-6.886075552308025
97,visible_beta,hard,control,0.08,-6.928489514609678
97,visible_beta,hard,control,0.09,-6.982511131783023
97,visible_beta,hard,control,0.1,-7.047866098919671
97,visible_beta,hard,control,0.11,-7.124258502741888
97,visible_beta,hard,control,0.12,-7.211373742998422
97,visible_beta,hard,control,0.13,-7.30888148227155
97,visible_beta,hard,control,0.14,-7.41643857196131
97,visible_beta,hard,control,0.15,-7.5336919078044415
97,visible_beta,hard,control,0.16,-7.660281174713332
97,visible_beta,hard,control,0.17,-7.795841447608797
97,visible_beta,hard,control,0.18,-7.9400056219295925
97,visible_beta,hard,control,0.19,-8.09240665434165
97,visible_beta,hard,control,0.2,-8.252679600609316
97,visible_beta,hard,control,0.21,-8.420463443458331
97,visible_beta,hard,control,0.22,-8.59540270844221
97,visible_beta,hard,control,0.23,-8.777148870258625
97,visible_beta,hard,control,0.24,-8.965361555633189
97,visible_beta,hard,control,0.25,-9.159709551812124
97,visible_beta,hard,control,0.26,-9.35987163192768
97,visible_beta,hard,control,0.27,-9.565537210083132
97,visible_beta,hard,control,0.28,-9.776406840022027
97,visible_beta,hard,control,0.29,-9.99219257177762
97,visible_beta,hard,control,0.3,-10.212618180822975
97,visible_beta,hard,control,0.31,-10.437419284036029
97,visible_beta,hard,control,0.32,-10.666343356328014
97,visible_beta,hard,control,0.33,-10.89914966112134
97,visible_beta,hard,control,0.34,-11.135609107060931
97,visible_beta,hard,control,0.35,-11.375504042447883
97,visible_beta,hard,control,0.36,-11.618627997937127
97,visible_beta,hard,control,0.37,-11.8647853870735
97,visible_beta,hard,control,0.38,-12.113791173279012
97,visible_beta,hard,control,0.39,-12.365470510968882
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.781074267073304
97,visible_beta,hard,control,0.02,-6.647663250327427
97,visible_beta,hard,control,0.03,-6.531149912356072
97,visible_beta,hard,control,0.04,-6.431387592577354
97,visible_beta,hard,control,0.05,-6.348173883481827
97,visible_beta,hard,control,0.06,-6.281253440119346
97,visible_beta,hard,control,0.07,-6.230321444768376
97,visible_beta,hard,control,0.08,-6.195027626929631
97,visible_beta,hard,control,0.09,-6.174980727487406
97,visible_beta,hard,control,0.1,-6.169753289735531
97,visible_beta,hard,control,0.11,-6.178886658867267
97,visible_beta,hard,control,0.12,-6.201896075067553
97,visible_beta,hard,control,0.13,-6.2382757528677955
97,visible_beta,hard,control,0.14,-6.287503850111405
97,visible_beta,hard,control,0.15,-6.349047242836432
97,visible_beta,hard,control,0.16,-6.422366036710528
97,visible_beta,hard,control,0.17,-6.5069177605142565
97,visible_beta,hard,control,0.18,-6.602161201829531
97,visible_beta,hard,control,0.19,-6.707559858955237
97,visible_beta,hard,control,0.2,-6.82258499569533
97,visible_beta,hard,control,0.21,-6.946718296746197
97,visible_beta,hard,control,0.22,-7.079454130784965
97,visible_beta,hard,control,0.23,-7.2203014359798585
97,visible_beta,hard,control,0.24,-7.368785248551198
97,visible_beta,hard,control,0.25,-7.524447899320359
97,visible_beta,hard,control,0.26,-7.686849906053861
97,visible_beta,hard,control,0.27,-7.855570591028309
97,visible_beta,hard,control,0.28,-8.03020845380721
97,visible_beta,hard,control,0.29,-8.210381328929973
97,visible_beta,hard,control,0.3,-8.395726357252276
97,visible_beta,hard,control,0.31,-8.585899798214951
97,visible_beta,hard,control,0.32,-8.780576708503942
97,visible_beta,hard,control,0.33,-8.979450510523964
97,visible_beta,hard,control,0.34,-9.182232471948181
97,visible_beta,hard,control,0.35,-9.388651115409951
97,visible_beta,hard,control,0.36,-9.59845157523668
97,visible_beta,hard,control,0.37,-9.811394916038683
97,visible_beta,hard,control,0.38,-10.027257425993513
97,visible_beta,hard,control,0.39,-10.245829895831648
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-7.010887176941967
97,visible_beta,hard,control,0.02,-7.10730324229941
97,visible_beta,hard,control,0.03,-7.220629956512896
97,visible_beta,hard,control,0.04,-7.350718699751791
97,visible_beta,hard,control,0.05,-7.49736441239228
97,visible_beta,hard,control,0.06,-7.660308490033226
97,visible_beta,hard,control,0.07,-7.839242350972048
97,visible_beta,hard,control,0.08,-8.033811571602344
97,visible_beta,hard,control,0.09,-8.243620473540076
97,visible_beta,hard,control,0.1,-8.468237040089654
97,visible_beta,hard,control,0.11,-8.707198038801764
97,visible_beta,hard,control,0.12,-8.960014230898784
97,visible_beta,hard,control,0.13,-9.226175556541204
97,visible_beta,hard,control,0.14,-9.505156196399355
97,visible_beta,hard,control,0.15,-9.796419423817445
97,visible_beta,hard,control,0.16,-10.099422177050863
97,visible_beta,hard,control,0.17,-10.413619296731536
97,visible_beta,hard,control,0.18,-10.73846738909768
97,visible_beta,hard,control,0.19,-11.073428289989772
97,visible_beta,hard,control,0.2,-11.417972117703382
97,visible_beta,hard,control,0.21,-11.771579914197895
97,visible_beta,hard,control,0.22,-12.133745883730299
97,visible_beta,hard,control,0.23,-12.503979245678824
97,visible_beta,hard,control,0.24,-12.881805724204558
97,visible_beta,hard,control,0.25,-13.266768701603288
97,visible_beta,hard,control,0.26,-13.658430064905556
97,visible_beta,hard,control,0.27,-14.056370776697708
97,visible_beta,hard,control,0.28,-14.460191201475979
97,visible_beta,hard,control,0.29,-14.869511218321723
97,visible_beta,hard,control,0.3,-15.28397014949615
97,visible_beta,hard,control,0.31,-15.70322653287582
97,visible_beta,hard,control,0.32,-16.1269577641402
97,visible_beta,hard,control,0.33,-16.554859632410796
97,visible_beta,hard,control,0.34,-16.98664577073421
97,visible_beta,hard,control,0.35,-17.422047040484042
97,visible_beta,hard,control,0.36,-17.86081086649311
97,visible_beta,hard,control,0.37,-18.30270053756609
97,visible_beta,hard,control,0.38,-18.747494484995176
97,visible_beta,hard,control,0.39,-19.194985549830125
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.626942737019839
97,visible_beta,hard,control,0.02,-6.33645547457754
97,visible_beta,hard,control,0.03,-6.059935683613689
97,visible_beta,hard,control,0.04,-5.797260687808662
97,visible_beta,hard,control,0.05,-5.548261250571357
97,visible_beta,hard,control,0.06,-5.312723989763925
97,visible_beta,hard,control,0.07,-5.0903943517898345
97,visible_beta,hard,control,0.08,-4.880980056935183
97,visible_beta,hard,control,0.09,-4.6841549181528
97,visible_beta,hard,control,0.1,-4.499562930421534
97,visible_beta,hard,control,0.11,-4.326822527281132
97,visible_beta,hard,control,0.12,-4.165530904737278
97,visible_beta,hard,control,0.13,-4.01526831983438
97,visible_beta,hard,control,0.14,-3.8756022810460706
97,visible_beta,hard,control,0.15,-3.7460915594106017
97,visible_beta,hard,control,0.16,-3.626289962221099
97,visible_beta,hard,control,0.17,-3.515749824313755
97,visible_beta,hard,control,0.18,-3.4140251849300456
97,visible_beta,hard,control,0.19,-3.3206746302421215
