participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
1,hard,0,hidden,hard_c_hid_13-ab-ba,1,,,3.0,ab,ba,ab,ba,False,0.64,0.0,0.7,0.0,2.0794415416798357,0.5,0.0,1.791759469228055,control,,,,,
1,hard,1,hidden,hard_c_hid_21-ba-ab,2,,,1.0,ba,ab,ab,ab,True,0.36,0.6,0.42857142857142855,0.7142857142857143,0.4321333551903257,0.6,0.7142857142857143,0.15123096972392366,control,,,,,
1,hard,2,hidden,hard_c_hid_31-ba-bb,3,,,1.0,ba,bb,bb,bb,True,0.0,0.36,0.0,0.47619047619047616,1.7512681078733179,0.0,0.7142857142857143,2.097141118779237,control,,,,,
1,hard,3,visible,hard_c_vis_0b3,0,b,3.0,3.0,a,b,b,b,True,0.0,0.4,0.0,0.3333333333333333,1.466337068793427,,,,control,,,,,
1,hard,4,visible,hard_c_vis_1a0,1,a,1.0,0.0,a,b,a,b,False,0.4,0.0,0.4,0.0,1.6094379124341003,,,,control,,,,,
1,hard,5,visible,hard_c_vis_3a2,3,a,2.0,2.0,a,b,a,a,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,control,,,,,
1,hard,6,visible,hard_c_vis_3b1,3,b,2.0,1.0,a,b,b,a,False,0.0,0.6,0.0,0.7142857142857143,2.097141118779237,,,,control,,,,,
1,hard,7,hidden,hard_c_hid_12-ab-ba,1,,,2.0,ab,ba,ba,ba,True,0.0,0.24,0.0,0.3333333333333333,1.466337068793427,0.0,0.0,0.0,control,,,,,
1,hard,8,visible,hard_c_vis_2a2,2,a,2.0,2.0,a,b,a,a,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,control,,,,,
1,hard,9,hidden,hard_c_hid_03-aa-ab,0,,,3.0,aa,ab,ab,ab,True,0.0,0.4,0.0,0.3333333333333333,1.466337068793427,0.0,0.3333333333333333,1.466337068793427,control,,,,,
1,hard,10,hidden,hard_c_hid_00-aa-bb,0,,,0.0,aa,bb,aa,aa,True,0.4,0.0,0.3333333333333333,0.0,1.466337068793427,0.3333333333333333,0.0,1.466337068793427,control,,,,,
1,hard,11,visible,hard_c_vis_2a0,2,a,2.0,0.0,a,b,b,b,True,0.0,0.4,0.0,0.2857142857142857,1.3499267169490157,,,,control,,,,,
1,hard,12,hidden,hard_c_hid_23-ba-ab,2,,,3.0,ba,ab,ba,ba,True,0.4,0.0,0.2857142857142857,0.0,1.3499267169490157,0.0,0.0,0.0,control,,,,,
1,hard,13,visible,hard_c_vis_2a1,2,a,2.0,1.0,a,b,b,b,True,0.0,0.6,0.0,0.7142857142857143,2.097141118779237,,,,control,,,,,
1,hard,14,hidden,hard_c_hid_10-aa-bb,1,,,0.0,aa,bb,aa,bb,False,0.24,0.0,0.24,0.0,1.2237754316221154,0.4,0.0,1.6094379124341003,control,,,,,
1,hard,15,visible,hard_c_vis_1b3,1,b,1.0,3.0,a,b,b,a,False,0.0,0.4,0.0,0.5,1.791759469228055,,,,control,,,,,
1,hard,16,visible,hard_c_vis_0a0,0,a,3.0,0.0,a,b,a,a,True,0.4,0.0,0.3333333333333333,0.0,1.466337068793427,,,,control,,,,,
1,hard,17,hidden,hard_c_hid_13-aa-ba,1,,,3.0,aa,ba,aa,ba,False,0.4,0.0,0.4,0.0,1.6094379124341003,0.0,0.0,0.0,control,,,,,
1,hard,18,hidden,hard_c_hid_33-aa-ba,3,,,3.0,aa,ba,aa,aa,True,0.4,0.0,0.3333333333333333,0.0,1.466337068793427,0.0,0.0,0.0,control,,,,,
1,hard,19,visible,hard_c_vis_2b0,2,b,1.0,0.0,a,b,a,b,False,0.4,0.0,0.4,0.0,1.6094379124341003,,,,control,,,,,
2,easy,1,visible,easy_p_vis_2a3a03,2,a,3.0,,0,3,,0,True,0.4,0.0,0.5,0.0,1.791759469228055,,,,prediction,a,0.0,,,
2,easy,2,visible,easy_p_vis_1a0a20,1,a,0.0,,2,0,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,2.0,,,
2,easy,3,visible,easy_p_vis_3b3b13,3,b,3.0,,1,3,,3,True,0.0,1.0,0.25,0.25,0.0,,,,prediction,b,3.0,,,
2,easy,4,hidden,easy_p_hid_0ba30,0,b,,,3,0,,3,False,0.4,0.6,0.0999755859375,0.52490234375,1.139400098743749,0.0,0.0,0.0,prediction,a,0.0,,,
2,easy,5,hidden,easy_p_hid_1ba21,1,b,,,2,1,,2,True,1.0,0.0,0.25,0.125,0.4418327522790391,1.0,0.0,2.3978952727983707,prediction,a,2.0,,,
2,easy,6,hidden,easy_p_hid_0aa10,0,a,,,1,0,,0,True,0.0,0.6,0.0,0.60009765625,1.946049648253419,0.0,0.60009765625,1.946049648253419,prediction,a,0.0,,,
2,easy,7,hidden,easy_p_hid_2ab13,2,a,,,1,3,,3,True,0.0,0.4,0.25,0.25,0.0,0.25,0.25,0.0,prediction,b,3.0,,,
2,easy,8,hidden,easy_p_hid_2aa31,2,a,,,3,1,,3,False,0.0,0.24,0.0,0.199951171875,1.0984495150045288,0.0,0.0,0.0,prediction,a,1.0,,,
2,easy,9,visible,easy_p_vis_1b0b21,1,b,0.0,,2,1,,2,True,1.0,0.0,0.25,0.25,0.0,,,,prediction,b,2.0,,,
2,easy,10,visible,easy_p_vis_3b3a13,3,b,3.0,,1,3,,1,True,0.6,0.0,0.5,0.0,1.791759469228055,,,,prediction,a,1.0,,,
2,easy,11,hidden,easy_p_hid_3ab21,3,a,,,2,1,,2,True,0.4,0.0,0.25,0.25,0.0,0.25,0.25,0.0,prediction,b,2.0,,,
2,easy,12,hidden,easy_p_hid_2ab03,2,a,,,0,3,,3,True,0.0,0.4,0.25,0.25,0.0,0.25,0.25,0.0,prediction,b,3.0,,,
2,easy,13,visible,easy_p_vis_0b2b23,0,b,2.0,,2,3,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,b,2.0,,,
2,easy,14,visible,easy_p_vis_3a1b30,3,a,1.0,,3,0,,3,False,0.0,1.0,0.25,0.25,0.0,,,,prediction,b,0.0,,,
2,easy,15,visible,easy_p_vis_2a3a31,2,a,3.0,,3,1,,1,True,0.0,0.6,0.0,0.5,1.791759469228055,,,,prediction,a,1.0,,,
2,easy,16,hidden,easy_p_hid_2ba13,2,b,,,1,3,,3,True,0.0,0.4,0.0,0.39990234375,1.60924258085813,0.0,0.39990234375,1.60924258085813,prediction,a,3.0,,,
2,easy,17,visible,easy_p_vis_2b2a13,2,b,2.0,,1,3,,3,True,0.0,0.4,0.0,0.4,1.6094379124341003,,,,prediction,a,3.0,,,
2,easy,18,hidden,easy_p_hid_3aa21,3,a,,,2,1,,1,False,0.4,0.0,0.5,0.0,1.791759469228055,1.0,0.0,2.3978952727983707,prediction,a,2.0,,,
2,easy,19,visible,easy_p_vis_3a1a01,3,a,1.0,,0,1,,0,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,0.0,,,
