participant_id,test_condition,fsm_number,timestamp,q_estimate,q_stategy_scale,q_strategy,subject_age,subject_sex,subject_ethnicity,subject_timeTaken,learning_condition
1,control,22.0,2023-01-23T23:14:30.630Z,10.0,,Try to do simple patterns of emojis multiple times to see the most common responses by the bot.,20.0,Male,Asian,379,Experiment 1 (no preview)
2,prediction,21.0,2023-01-23T23:14:45.993Z,16.0,,Pick the emoji not show on text screen.,24.0,Male,Mixed,475,Experiment 1 (no preview)
3,prediction,21.0,2023-01-23T23:22:35.246Z,10.0,,Try to find a pattern in the first part of the study.,31.0,Female,White,427,Experiment 1 (no preview)
4,explanation,22.0,2023-01-23T23:31:20.611Z,10.0,,Look at the pictures carefully and think of the patterns you saw in the learning phase. Sometimes you can guess what the hidden emoji is by remembering the patterns.,28.0,Female,Asian,493,Experiment 1 (no preview)
5,control,22.0,2023-01-23T23:29:44.484Z,13.0,,I'd tell them to experiment with the chat bot in groups of three messages to better replicate the situations that they'll be asked to predict.,19.0,Male,White,589,Experiment 1 (no preview)
6,control,22.0,2023-01-23T23:30:37.671Z,10.0,,Study the trends and patterns of the chatbot.,21.0,Male,Other,533,Experiment 1 (no preview)
7,prediction,22.0,2023-01-23T23:32:49.203Z,10.0,,I would advise them to closely pay attention to the first phase. This would help in the second phase.,26.0,Female,White,627,Experiment 1 (no preview)
8,control,21.0,2023-01-23T23:40:52.929Z,16.0,,I would advise to pay attention as well as try for different patterns.  I would ask what made the sunglasses always pop out.,34.0,Male,Black,556,Experiment 1 (no preview)
9,explanation,22.0,2023-01-23T23:46:26.183Z,13.0,,I would advise my friend to look for patterns beyond the obvious.,18.0,Male,Asian,326,Experiment 1 (no preview)
10,prediction,21.0,2023-01-23T23:45:53.326Z,10.0,,interchange which emojis you send and do different combinations of them (like which ones go after which) ,23.0,Female,White,568,Experiment 1 (no preview)
11,control,21.0,2023-01-23T23:46:32.708Z,13.0,,"take notes, look for patterns",21.0,Female,White,1143,Experiment 1 (no preview)
12,control,22.0,2023-01-24T00:31:06.575Z,10.0,,"Try and pay attention less to the emoji in response, but more to the two emoji combinations you had done beforehand.",20.0,Female,Other,766,Experiment 1 (no preview)
13,prediction,21.0,2023-01-24T17:22:46.322Z,10.0,intuition,pay attention ,22.0,Female,Other,537,Experiment 1 (no preview)
14,explanation,21.0,2023-01-24T18:01:05.138Z,,rule,"To keep an eye for the love emoji because that is the only one that whenever you input on the system, it will change the chatbot emoji. Fot the thumb emoji, it will give the same respond for the chatbot. ",31.0,Female,Asian,707,Experiment 1 (no preview)
