participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
1,22.0,hard,control,Experiment 1 (no preview),1,hidden,1.0,,,,3.0,ab,ba,ab,ba,0.0,4694.036000095366
1,22.0,hard,control,Experiment 1 (no preview),2,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,6457.54800000001
1,22.0,hard,control,Experiment 1 (no preview),3,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,7118.08800004769
1,22.0,hard,control,Experiment 1 (no preview),4,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,2537.9190000238304
1,22.0,hard,control,Experiment 1 (no preview),5,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,1656.1240000238467
1,22.0,hard,control,Experiment 1 (no preview),6,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,500.6550000715361
1,22.0,hard,control,Experiment 1 (no preview),7,visible,3.0,b,2.0,,1.0,a,b,b,a,0.0,16902.52200004767
1,22.0,hard,control,Experiment 1 (no preview),8,hidden,1.0,,,,2.0,ab,ba,ba,ba,1.0,1741.3000000476895
1,22.0,hard,control,Experiment 1 (no preview),9,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,577.4260000715149
1,22.0,hard,control,Experiment 1 (no preview),10,hidden,0.0,,,,3.0,aa,ab,ab,ab,1.0,2060.771000000008
1,22.0,hard,control,Experiment 1 (no preview),11,hidden,0.0,,,,0.0,aa,bb,aa,aa,1.0,4037.4220000715286
1,22.0,hard,control,Experiment 1 (no preview),12,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,1254.094000047684
1,22.0,hard,control,Experiment 1 (no preview),13,hidden,2.0,,,,3.0,ba,ab,ba,ba,1.0,3344.33400007154
1,22.0,hard,control,Experiment 1 (no preview),14,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,787.7590000476921
1,22.0,hard,control,Experiment 1 (no preview),15,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,1218.9990000238176
1,22.0,hard,control,Experiment 1 (no preview),16,visible,1.0,b,1.0,,3.0,a,b,b,a,0.0,969.576000047673
1,22.0,hard,control,Experiment 1 (no preview),17,visible,0.0,a,3.0,,0.0,a,b,a,a,1.0,2548.6330000715097
1,22.0,hard,control,Experiment 1 (no preview),18,hidden,1.0,,,,3.0,aa,ba,aa,ba,0.0,2654.304000071541
1,22.0,hard,control,Experiment 1 (no preview),19,hidden,3.0,,,,3.0,aa,ba,aa,aa,1.0,1710.405000000028
