participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
4,22.0,hard,explanation,Experiment 1 (no preview),1,visible,0.0,a,3.0,a,0.0,,,2.0,2,1.0,7670.377000011911
4,22.0,hard,explanation,Experiment 1 (no preview),2,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,3143.978000047675
4,22.0,hard,explanation,Experiment 1 (no preview),3,hidden,2.0,a,,b,1.0,,,2.0,2,1.0,3491.4580000238493
4,22.0,hard,explanation,Experiment 1 (no preview),4,visible,1.0,a,0.0,a,3.0,,,1.0,1,1.0,3009.846000035759
4,22.0,hard,explanation,Experiment 1 (no preview),5,visible,2.0,b,1.0,b,1.0,,,1.0,2,0.0,2514.344999999972
4,22.0,hard,explanation,Experiment 1 (no preview),6,hidden,2.0,b,,a,1.0,,,1.0,1,1.0,2183.907000011939
4,22.0,hard,explanation,Experiment 1 (no preview),7,hidden,2.0,b,,b,3.0,,,1.0,2,0.0,1154.1480000357842
4,22.0,hard,explanation,Experiment 1 (no preview),8,hidden,3.0,b,,b,3.0,,,2.0,2,1.0,1028.3489999999874
4,22.0,hard,explanation,Experiment 1 (no preview),9,visible,3.0,a,0.0,b,3.0,,,1.0,2,0.0,2900.099000023853
4,22.0,hard,explanation,Experiment 1 (no preview),10,visible,0.0,b,3.0,b,3.0,,,2.0,2,1.0,952.3549999999814
4,22.0,hard,explanation,Experiment 1 (no preview),11,visible,2.0,b,1.0,a,1.0,,,1.0,2,0.0,5623.065999999992
4,22.0,hard,explanation,Experiment 1 (no preview),12,hidden,3.0,b,,a,2.0,,,2.0,2,1.0,1062.2750000118976
4,22.0,hard,explanation,Experiment 1 (no preview),13,hidden,1.0,b,,a,2.0,,,1.0,2,0.0,1050.8210000476683
4,22.0,hard,explanation,Experiment 1 (no preview),14,visible,3.0,b,2.0,a,2.0,,,2.0,1,0.0,3832.3700000476674
4,22.0,hard,explanation,Experiment 1 (no preview),15,hidden,0.0,a,,a,0.0,,,2.0,2,1.0,468.5520000357647
4,22.0,hard,explanation,Experiment 1 (no preview),16,hidden,1.0,a,,a,0.0,,,2.0,2,1.0,2712.7850000477047
4,22.0,hard,explanation,Experiment 1 (no preview),17,visible,1.0,b,3.0,a,2.0,,,1.0,2,0.0,845.6140000357409
4,22.0,hard,explanation,Experiment 1 (no preview),18,hidden,3.0,a,,a,3.0,,,1.0,1,1.0,1581.5190000477014
4,22.0,hard,explanation,Experiment 1 (no preview),19,visible,3.0,a,2.0,b,1.0,,,2.0,2,1.0,775.3209999999963
4,22.0,hard,explanation,Experiment 1 (no preview),20,hidden,1.0,b,,b,2.0,,,1.0,2,0.0,899.8730000118958
9,22.0,hard,explanation,Experiment 1 (no preview),1,hidden,3.0,b,,a,2.0,,,2.0,2,1.0,7610.619999982126
9,22.0,hard,explanation,Experiment 1 (no preview),2,visible,1.0,a,0.0,a,3.0,,,1.0,2,0.0,5031.719999994035
9,22.0,hard,explanation,Experiment 1 (no preview),3,visible,2.0,b,1.0,b,1.0,,,1.0,2,0.0,451.9950000059616
9,22.0,hard,explanation,Experiment 1 (no preview),4,visible,0.0,b,3.0,b,3.0,,,2.0,2,1.0,3161.0389999999898
9,22.0,hard,explanation,Experiment 1 (no preview),5,hidden,1.0,a,,a,0.0,,,2.0,2,1.0,525.714999988093
9,22.0,hard,explanation,Experiment 1 (no preview),6,visible,3.0,a,2.0,b,1.0,,,2.0,2,1.0,396.42699999402976
9,22.0,hard,explanation,Experiment 1 (no preview),7,hidden,3.0,b,,b,3.0,,,2.0,2,1.0,374.73300000000745
9,22.0,hard,explanation,Experiment 1 (no preview),8,hidden,0.0,a,,a,0.0,,,2.0,2,1.0,371.3579999880749
9,22.0,hard,explanation,Experiment 1 (no preview),9,visible,3.0,a,0.0,b,3.0,,,1.0,2,0.0,375.4739999940503
9,22.0,hard,explanation,Experiment 1 (no preview),10,hidden,2.0,b,,a,1.0,,,1.0,2,0.0,395.0429999940389
9,22.0,hard,explanation,Experiment 1 (no preview),11,hidden,1.0,b,,a,2.0,,,1.0,2,0.0,537.8309999940393
9,22.0,hard,explanation,Experiment 1 (no preview),12,hidden,2.0,b,,b,3.0,,,1.0,2,0.0,721.2349999880826
9,22.0,hard,explanation,Experiment 1 (no preview),13,hidden,2.0,a,,b,1.0,,,2.0,2,1.0,769.9580000059505
9,22.0,hard,explanation,Experiment 1 (no preview),14,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,349.15399999404326
9,22.0,hard,explanation,Experiment 1 (no preview),15,visible,3.0,b,2.0,a,2.0,,,2.0,2,1.0,520.323000000004
9,22.0,hard,explanation,Experiment 1 (no preview),16,hidden,3.0,a,,a,3.0,,,1.0,2,0.0,349.84400000594906
9,22.0,hard,explanation,Experiment 1 (no preview),17,visible,1.0,b,3.0,a,2.0,,,1.0,2,0.0,362.6769999821263
9,22.0,hard,explanation,Experiment 1 (no preview),18,visible,2.0,b,1.0,a,1.0,,,1.0,2,0.0,359.3569999821193
9,22.0,hard,explanation,Experiment 1 (no preview),19,visible,0.0,a,3.0,a,0.0,,,2.0,2,1.0,427.5569999940344
9,22.0,hard,explanation,Experiment 1 (no preview),20,hidden,1.0,b,,b,2.0,,,1.0,2,0.0,411.3449999880977
14,21.0,easy,explanation,Experiment 1 (no preview),1,hidden,2.0,b,,b,2.0,,,2.0,2,1.0,12427.0
14,21.0,easy,explanation,Experiment 1 (no preview),2,visible,0.0,a,2.0,b,2.0,,,2.0,1,0.0,9118.0
14,21.0,easy,explanation,Experiment 1 (no preview),3,hidden,3.0,a,,b,2.0,,,1.0,1,1.0,3328.0
14,21.0,easy,explanation,Experiment 1 (no preview),4,visible,3.0,a,1.0,b,0.0,,,1.0,1,1.0,9292.0
14,21.0,easy,explanation,Experiment 1 (no preview),5,visible,2.0,a,0.0,b,2.0,,,1.0,1,1.0,3763.0
14,21.0,easy,explanation,Experiment 1 (no preview),6,visible,0.0,a,2.0,a,0.0,,,2.0,2,1.0,4907.0
14,21.0,easy,explanation,Experiment 1 (no preview),7,visible,0.0,b,2.0,b,2.0,,,2.0,2,1.0,3888.0
14,21.0,easy,explanation,Experiment 1 (no preview),8,hidden,0.0,a,,a,0.0,,,2.0,2,1.0,3843.0
14,21.0,easy,explanation,Experiment 1 (no preview),9,hidden,0.0,b,,b,2.0,,,2.0,1,0.0,9224.0
14,21.0,easy,explanation,Experiment 1 (no preview),10,visible,2.0,a,0.0,a,2.0,,,1.0,2,0.0,2463.0
14,21.0,easy,explanation,Experiment 1 (no preview),11,visible,0.0,b,2.0,a,3.0,,,2.0,2,1.0,1765.0
14,21.0,easy,explanation,Experiment 1 (no preview),12,hidden,3.0,a,,a,2.0,,,1.0,2,0.0,943.0
14,21.0,easy,explanation,Experiment 1 (no preview),13,hidden,3.0,a,,b,0.0,,,1.0,1,1.0,2168.000000000058
14,21.0,easy,explanation,Experiment 1 (no preview),14,hidden,0.0,b,,a,0.0,,,2.0,2,1.0,1187.0
14,21.0,easy,explanation,Experiment 1 (no preview),15,visible,0.0,b,2.0,a,0.0,,,2.0,2,1.0,592.0
14,21.0,easy,explanation,Experiment 1 (no preview),16,hidden,3.0,b,,a,0.0,,,2.0,2,1.0,2133.0
14,21.0,easy,explanation,Experiment 1 (no preview),17,visible,3.0,a,0.0,a,2.0,,,1.0,2,0.0,1649.0000000000582
14,21.0,easy,explanation,Experiment 1 (no preview),18,hidden,2.0,a,,a,2.0,,,1.0,2,0.0,3268.0
14,21.0,easy,explanation,Experiment 1 (no preview),19,visible,3.0,a,1.0,a,0.0,,,1.0,2,0.0,827.0
14,21.0,easy,explanation,Experiment 1 (no preview),20,hidden,0.0,a,,a,3.0,,,2.0,2,1.0,413.0
15,22.0,hard,explanation,Experiment 1 (no preview),1,visible,1.0,b,3.0,a,2.0,,,1.0,2,0.0,4591.160000000033
15,22.0,hard,explanation,Experiment 1 (no preview),2,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,6871.5
15,22.0,hard,explanation,Experiment 1 (no preview),3,visible,0.0,a,3.0,a,0.0,,,2.0,2,1.0,3232.5
15,22.0,hard,explanation,Experiment 1 (no preview),4,hidden,3.0,b,,a,2.0,,,2.0,2,1.0,5840.239999999991
15,22.0,hard,explanation,Experiment 1 (no preview),5,visible,3.0,b,2.0,a,2.0,,,2.0,1,0.0,2046.859999999986
15,22.0,hard,explanation,Experiment 1 (no preview),6,hidden,1.0,b,,b,2.0,,,1.0,1,1.0,466.8800000000047
15,22.0,hard,explanation,Experiment 1 (no preview),7,hidden,1.0,a,,a,0.0,,,2.0,2,1.0,860.9000000000233
15,22.0,hard,explanation,Experiment 1 (no preview),8,visible,3.0,a,0.0,b,3.0,,,1.0,2,0.0,783.9200000000419
15,22.0,hard,explanation,Experiment 1 (no preview),9,visible,1.0,a,0.0,a,3.0,,,1.0,1,1.0,1758.939999999944
15,22.0,hard,explanation,Experiment 1 (no preview),10,hidden,2.0,b,,b,3.0,,,1.0,1,1.0,774.4000000000233
