participant_id,fsm_number,test_condition,timestamp,learning_counter,state_current,response_current,state_next,task,learning_condition,response_time,fsm_type
1,22.0,control,2023-01-23T23:15:08.693Z,1,3.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),434,hard
1,22.0,control,2023-01-23T23:15:10.452Z,2,2.0,b,1.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),644,hard
1,22.0,control,2023-01-23T23:15:12.819Z,3,1.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1229,hard
1,22.0,control,2023-01-23T23:15:16.076Z,4,0.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2248,hard
1,22.0,control,2023-01-23T23:15:17.718Z,5,3.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),630,hard
1,22.0,control,2023-01-23T23:15:19.159Z,6,2.0,b,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),426,hard
1,22.0,control,2023-01-23T23:15:20.618Z,7,0.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),448,hard
1,22.0,control,2023-01-23T23:15:22.194Z,8,3.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),560,hard
1,22.0,control,2023-01-23T23:15:24.376Z,9,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1174,hard
1,22.0,control,2023-01-23T23:15:27.151Z,10,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1751,hard
1,22.0,control,2023-01-23T23:15:28.668Z,11,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),501,hard
1,22.0,control,2023-01-23T23:15:30.393Z,12,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),710,hard
1,22.0,control,2023-01-23T23:15:31.905Z,13,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),494,hard
1,22.0,control,2023-01-23T23:15:33.384Z,14,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),473,hard
