"participant_id","study_task","study_fsm","meta_timestamp","q_strategy","q_estimate","txt_advice","subject_age","subject_sex","subject_ethnicity","subject_timeTaken"
1,"control","hard","2023-01-23T23:14:30.630Z",NA,10,"Try to do simple patterns of emojis multiple times to see the most common responses by the bot.",20,"Male","Asian",379
2,"prediction","easy","2023-01-23T23:14:45.993Z",NA,16,"Pick the emoji not show on text screen.",24,"Male","Mixed",475
3,"prediction","easy","2023-01-23T23:22:35.246Z",NA,10,"Try to find a pattern in the first part of the study.",31,"Female","White",427
4,"prediction","hard","2023-01-23T23:30:58.213Z",NA,13,"I&apos;d tell them to experiment with the chat bot in groups of three messages to better replicate the situations that they&apos;ll be asked to predict.",19,"Male","White",589
5,"explanation","hard","2023-01-23T23:31:20.611Z",NA,10,"Look at the pictures carefully and think of the patterns you saw in the learning phase. Sometimes you can guess what the hidden emoji is by remembering the patterns.",28,"Female","Asian",493
6,"control","hard","2023-01-23T23:30:37.671Z",NA,10,"Study the trends and patterns of the chatbot.",21,"Male","Other",533
7,"prediction","hard","2023-01-23T23:32:49.203Z",NA,10,"I would advise them to closely pay attention to the first phase. This would help in the second phase.",26,"Female","White",627
8,"control","easy","2023-01-23T23:40:52.929Z",NA,16,"I would advise to pay attention as well as try for different patterns.  I would ask what made the sunglasses always pop out.",34,"Male","Black",556
9,"prediction","easy","2023-01-23T23:45:53.326Z",NA,10,"interchange which emojis you send and do different combinations of them (like which ones go after which) ",23,"Female","White",568
10,"control","easy","2023-01-23T23:46:32.708Z",NA,13,"take notes, look for patterns",21,"Female","White",1143
11,"explanation","hard","2023-01-23T23:46:26.183Z",NA,13,"I would advise my friend to look for patterns beyond the obvious.",18,"Male","Asian",326
12,"control","hard","2023-01-24T00:31:06.575Z",NA,10,"Try and pay attention less to the emoji in response, but more to the two emoji combinations you had done beforehand.",20,"Female","Other",766
13,"prediction","easy","2023-01-24T17:22:46.322Z","intuition",10,"pay attention ",22,"Female","Other",537
14,"explanation","easy","2023-01-24T18:01:05.138Z","rule",NA,"To keep an eye for the love emoji because that is the only one that whenever you input on the system, it will change the chatbot emoji. Fot the thumb emoji, it will give the same respond for the chatbot. ",31,"Female","Asian",707
15,"explanation","hard","2023-01-24T18:04:00.142Z","intuition",10,"I literally have no clue",19,"Male","White",812
16,"explanation","hard","2023-01-24T20:02:24.280Z","guess",NA,"heart will always end with the surprised emoji. The like will use the current emoji and cycle through all of the emojis",20,"Male","Asian",23247
17,"prediction","hard","2023-01-24T18:06:29.227Z","intuition",10,"focus on trying random response and then make multiple same response to the emoji for comparison",33,"Male","Asian",596
18,"prediction","hard","2023-01-24T18:11:08.955Z","familiarity",10,"Try different combinations in the replies",24,"Male","Asian",539
19,"explanation","hard","2023-01-24T18:14:50.984Z","intuition",13,"watch every other reaction
",26,"Male","Other",327
20,"prediction","hard","2023-01-24T18:20:34.838Z","familiarity",10,"Maybe try and learn the patterns in the first task. Can&apos;t really memorize it all, but pay much more attention to the responses in the first task. ",28,"Male","Asian",584
21,"prediction","easy","2023-01-24T18:26:06.398Z","rule",16,"after a thumbs up, it is mostly surprise face. and after a like it usually alternates among the four options ",40,"Female","Black",623
22,"explanation","easy","2023-01-24T18:29:00.939Z","rule",10,"I would advise them to view the emojis as binary inputs like 0 or 1 and then try patterns in groups of four. 0-0-0-1, 0010, etc. Then to observe what changed and what stayed the same. I used my test time with the bot poorly.",36,"Male","DATA_EXPIRED",704
23,"control","easy","2023-01-24T18:29:20.541Z","intuition",13,"Focus on the pattern and see what emojis pop up with each chat ",21,"Female","Black",415
24,"control","easy","2023-01-24T18:29:37.236Z","intuition",19,"I would advice him to follow his intuition.
If only he&apos;s familiar with the two emojis presented, and when or how it is used then he should do",36,"Male","Black",761
25,"prediction","hard","2023-01-24T18:30:34.410Z","intuition",10,"don&apos;t try too hard to see a pattern, it doesn&apos;t seem like there is one",28,"Female","White",317
26,"prediction","easy","2023-01-24T18:36:35.251Z","recall",13,"Mastery of the chatbot responses sequentially.",39,"Male","Black",793
27,"prediction","hard","2023-01-24T18:37:17.836Z","recall",10,"When you see a surprised face followed by a heart the answer will be a surprised face, use your intuition for the rest of the questions.",29,"Female","White",586
28,"explanation","easy","2023-01-24T18:37:54.831Z","guess",10,"Try to find the patterns during the test phase",28,"Female","Asian",386
29,"prediction","easy","2023-01-24T18:40:39.776Z","familiarity",10,"Watch the pattern during the blue hearts. The thumbs up produces the same results so don&apos;t waste the responses on that.",24,"Female","White",535
30,"prediction","easy","2023-01-24T18:43:46.106Z","familiarity",10,"try a wider variety of options during the test phase
",22,"Female","White",487
31,"explanation","hard","2023-01-24T19:03:54.527Z","intuition",10,"Have good memory. I myself do not have good memory. ",28,"Male","White",605
32,"explanation","easy","2023-01-24T20:52:28.973Z","guess",10,"Notice patterns in learning phase.",21,"Female","White",519
33,"explanation","easy","2023-01-24T21:00:49.301Z","rule",10,"The thumbs up usually makes it repeat its last emoji",28,"Male","Black",445
34,"explanation","easy","2023-01-24T21:30:55.384Z","intuition",16,"Pick an emoji and see how the chatbot responds",24,"Male","White",544
35,"control","hard","2023-01-24T22:02:01.340Z","intuition",10,"Look for patterns in the learning phase. Understand what duplicates mean.",25,"Female","White",463
36,"control","hard","2023-01-24T22:03:37.908Z","familiarity",10,"To try out more combinations",30,"Male","Asian",481
37,"control","hard","2023-01-24T22:23:09.717Z","familiarity",10,"Pay close attention during the beginning practice and spot any patterns. ",21,"Female","Asian",519
38,"control","hard","2023-01-24T22:24:23.969Z","recall",10,"I would tell him to pay attention to what emojis change when presented with one of the prompts vs the other. It seems the thumb changes more emojis than the heart does. ",21,"Male","White",601
39,"control","easy","2023-01-24T23:26:35.581Z","rule",16,"The thumbs-up emoji gives a confused emoji. The heart emoji gives a different emoji, every thing but the confused emoji. ",22,"Female","Asian",419
40,"control","easy","2023-01-24T23:45:13.739Z","rule",NA,"try to find a pattern in how the ai responds",23,"Female","White",519
41,"control","easy","2023-01-25T00:16:57.845Z","rule",16,"Pay attention to when does the bot use specific emojis and how to trigger them",20,"Male","White",929
42,"explanation","easy","2023-01-27T16:26:52.984Z","rule",NA,"test out the patterns ",34,"Female","Mixed",564
43,"explanation","easy","2023-01-27T16:31:21.270Z","intuition",10,"Just try to guess as best as you can.",35,"Male","White",360
