"participant_id","state_current","response_current","state_next","state_next_n","state_next_p"
1,0,"a",0,0,0
1,0,"a",1,0,0
1,0,"a",2,0,0
1,0,"a",3,5,1
1,0,"b",0,0,0
1,0,"b",1,0,0
1,0,"b",2,0,0
1,0,"b",3,2,1
1,1,"a",0,2,0.4
1,1,"a",1,3,0.6
1,1,"a",2,0,0
1,1,"a",3,0,0
1,1,"b",0,0,0
1,1,"b",1,3,0.5
1,1,"b",2,0,0
1,1,"b",3,3,0.5
1,2,"a",0,0,0
1,2,"a",1,0,0
1,2,"a",2,8,1
1,2,"a",3,0,0
1,2,"b",0,2,0.285714285714286
1,2,"b",1,5,0.714285714285714
1,2,"b",2,0,0
1,2,"b",3,0,0
1,3,"a",0,2,0.333333333333333
1,3,"a",1,0,0
1,3,"a",2,4,0.666666666666667
1,3,"a",3,0,0
1,3,"b",0,0,0
1,3,"b",1,0,0
1,3,"b",2,4,0.666666666666667
1,3,"b",3,2,0.333333333333333
2,0,"a",0,0,0
2,0,"a",1,0,0
2,0,"a",2,14,1
2,0,"a",3,0,0
2,0,"b",0,0,0
2,0,"b",1,0,0
2,0,"b",2,0,0
2,0,"b",3,0,0
2,1,"a",0,3,1
2,1,"a",1,0,0
2,1,"a",2,0,0
2,1,"a",3,0,0
2,1,"b",0,0,0
2,1,"b",1,0,0
2,1,"b",2,0,0
2,1,"b",3,0,0
2,2,"a",0,9,0.6
2,2,"a",1,0,0
2,2,"a",2,0,0
2,2,"a",3,6,0.4
2,2,"b",0,0,0
2,2,"b",1,0,0
2,2,"b",2,7,1
2,2,"b",3,0,0
2,3,"a",0,3,0.5
2,3,"a",1,3,0.5
2,3,"a",2,0,0
2,3,"a",3,0,0
2,3,"b",0,0,0
2,3,"b",1,0,0
2,3,"b",2,0,0
2,3,"b",3,0,0
3,0,"a",0,0,0
3,0,"a",1,0,0
3,0,"a",2,9,1
3,0,"a",3,0,0
3,0,"b",0,0,0
3,0,"b",1,0,0
3,0,"b",2,3,1
3,0,"b",3,0,0
3,1,"a",0,3,1
3,1,"a",1,0,0
3,1,"a",2,0,0
3,1,"a",3,0,0
3,1,"b",0,0,0
3,1,"b",1,0,0
3,1,"b",2,0,0
3,1,"b",3,0,0
3,2,"a",0,7,0.583333333333333
3,2,"a",1,0,0
3,2,"a",2,0,0
3,2,"a",3,5,0.416666666666667
3,2,"b",0,0,0
3,2,"b",1,0,0
3,2,"b",2,9,1
3,2,"b",3,0,0
3,3,"a",0,2,0.4
3,3,"a",1,3,0.6
3,3,"a",2,0,0
3,3,"a",3,0,0
3,3,"b",0,0,0
3,3,"b",1,0,0
3,3,"b",2,0,0
3,3,"b",3,4,1
4,0,"a",0,0,0
4,0,"a",1,0,0
4,0,"a",2,0,0
4,0,"a",3,4,1
4,0,"b",0,0,0
4,0,"b",1,0,0
4,0,"b",2,0,0
4,0,"b",3,2,1
4,1,"a",0,1,0.333333333333333
4,1,"a",1,2,0.666666666666667
4,1,"a",2,0,0
4,1,"a",3,0,0
4,1,"b",0,0,0
4,1,"b",1,4,0.571428571428571
4,1,"b",2,0,0
4,1,"b",3,3,0.428571428571429
4,2,"a",0,0,0
4,2,"a",1,0,0
4,2,"a",2,10,1
4,2,"a",3,0,0
4,2,"b",0,3,0.375
4,2,"b",1,5,0.625
4,2,"b",2,0,0
4,2,"b",3,0,0
4,3,"a",0,2,0.333333333333333
4,3,"a",1,0,0
4,3,"a",2,4,0.666666666666667
4,3,"a",3,0,0
4,3,"b",0,0,0
4,3,"b",1,0,0
4,3,"b",2,3,0.6
4,3,"b",3,2,0.4
5,0,"a",0,0,0
5,0,"a",1,0,0
5,0,"a",2,0,0
5,0,"a",3,4,1
5,0,"b",0,0,0
5,0,"b",1,0,0
5,0,"b",2,0,0
5,0,"b",3,3,1
5,1,"a",0,2,1
5,1,"a",1,0,0
5,1,"a",2,0,0
5,1,"a",3,0,0
5,1,"b",0,0,0
5,1,"b",1,4,0.666666666666667
5,1,"b",2,0,0
5,1,"b",3,2,0.333333333333333
5,2,"a",0,0,0
5,2,"a",1,0,0
5,2,"a",2,11,1
5,2,"a",3,0,0
5,2,"b",0,3,0.375
5,2,"b",1,5,0.625
5,2,"b",2,0,0
5,2,"b",3,0,0
5,3,"a",0,2,0.4
5,3,"a",1,0,0
5,3,"a",2,3,0.6
5,3,"a",3,0,0
5,3,"b",0,0,0
5,3,"b",1,0,0
5,3,"b",2,4,0.666666666666667
5,3,"b",3,2,0.333333333333333
6,0,"a",0,0,0
6,0,"a",1,0,0
6,0,"a",2,0,0
6,0,"a",3,5,1
6,0,"b",0,0,0
6,0,"b",1,0,0
6,0,"b",2,0,0
6,0,"b",3,4,1
6,1,"a",0,3,0.5
6,1,"a",1,3,0.5
6,1,"a",2,0,0
6,1,"a",3,0,0
6,1,"b",0,0,0
6,1,"b",1,0,0
6,1,"b",2,0,0
6,1,"b",3,1,1
6,2,"a",0,0,0
6,2,"a",1,0,0
6,2,"a",2,10,1
6,2,"a",3,0,0
6,2,"b",0,3,0.428571428571429
6,2,"b",1,4,0.571428571428571
6,2,"b",2,0,0
6,2,"b",3,0,0
6,3,"a",0,3,0.428571428571429
6,3,"a",1,0,0
6,3,"a",2,4,0.571428571428571
6,3,"a",3,0,0
6,3,"b",0,0,0
6,3,"b",1,0,0
6,3,"b",2,3,0.6
6,3,"b",3,2,0.4
7,0,"a",0,0,0
7,0,"a",1,0,0
7,0,"a",2,0,0
7,0,"a",3,5,1
7,0,"b",0,0,0
7,0,"b",1,0,0
7,0,"b",2,0,0
7,0,"b",3,4,1
7,1,"a",0,2,0.5
7,1,"a",1,2,0.5
7,1,"a",2,0,0
7,1,"a",3,0,0
7,1,"b",0,0,0
7,1,"b",1,4,0.571428571428571
7,1,"b",2,0,0
7,1,"b",3,3,0.428571428571429
7,2,"a",0,0,0
7,2,"a",1,0,0
7,2,"a",2,4,1
7,2,"a",3,0,0
7,2,"b",0,4,0.444444444444444
7,2,"b",1,5,0.555555555555556
7,2,"b",2,0,0
7,2,"b",3,0,0
7,3,"a",0,3,0.375
7,3,"a",1,0,0
7,3,"a",2,5,0.625
7,3,"a",3,0,0
7,3,"b",0,0,0
7,3,"b",1,0,0
7,3,"b",2,3,0.75
7,3,"b",3,1,0.25
8,0,"a",0,0,0
8,0,"a",1,0,0
8,0,"a",2,11,1
8,0,"a",3,0,0
8,0,"b",0,0,0
8,0,"b",1,0,0
8,0,"b",2,3,1
8,0,"b",3,0,0
8,1,"a",0,1,1
8,1,"a",1,0,0
8,1,"a",2,0,0
8,1,"a",3,0,0
8,1,"b",0,3,1
8,1,"b",1,0,0
8,1,"b",2,0,0
8,1,"b",3,0,0
8,2,"a",0,8,0.615384615384615
8,2,"a",1,0,0
8,2,"a",2,0,0
8,2,"a",3,5,0.384615384615385
8,2,"b",0,0,0
8,2,"b",1,0,0
8,2,"b",2,9,1
8,2,"b",3,0,0
8,3,"a",0,2,0.4
8,3,"a",1,3,0.6
8,3,"a",2,0,0
8,3,"a",3,0,0
8,3,"b",0,0,0
8,3,"b",1,0,0
8,3,"b",2,0,0
8,3,"b",3,0,0
9,0,"a",0,0,0
9,0,"a",1,0,0
9,0,"a",2,10,1
9,0,"a",3,0,0
9,0,"b",0,0,0
9,0,"b",1,0,0
9,0,"b",2,4,1
9,0,"b",3,0,0
9,1,"a",0,2,1
9,1,"a",1,0,0
9,1,"a",2,0,0
9,1,"a",3,0,0
9,1,"b",0,2,1
9,1,"b",1,0,0
9,1,"b",2,0,0
9,1,"b",3,0,0
9,2,"a",0,8,0.571428571428571
9,2,"a",1,0,0
9,2,"a",2,0,0
9,2,"a",3,6,0.428571428571429
9,2,"b",0,0,0
9,2,"b",1,0,0
9,2,"b",2,5,1
9,2,"b",3,0,0
9,3,"a",0,2,0.333333333333333
9,3,"a",1,4,0.666666666666667
9,3,"a",2,0,0
9,3,"a",3,0,0
9,3,"b",0,0,0
9,3,"b",1,0,0
9,3,"b",2,0,0
9,3,"b",3,2,1
10,0,"a",0,0,0
10,0,"a",1,0,0
10,0,"a",2,9,1
10,0,"a",3,0,0
10,0,"b",0,0,0
10,0,"b",1,0,0
10,0,"b",2,5,1
10,0,"b",3,0,0
10,1,"a",0,1,1
10,1,"a",1,0,0
10,1,"a",2,0,0
10,1,"a",3,0,0
10,1,"b",0,2,1
10,1,"b",1,0,0
10,1,"b",2,0,0
10,1,"b",3,0,0
10,2,"a",0,8,0.615384615384615
10,2,"a",1,0,0
10,2,"a",2,0,0
10,2,"a",3,5,0.384615384615385
10,2,"b",0,0,0
10,2,"b",1,0,0
10,2,"b",2,4,1
10,2,"b",3,0,0
10,3,"a",0,2,0.4
10,3,"a",1,3,0.6
10,3,"a",2,0,0
10,3,"a",3,0,0
10,3,"b",0,0,0
10,3,"b",1,0,0
10,3,"b",2,0,0
10,3,"b",3,6,1
11,0,"a",0,0,0
11,0,"a",1,0,0
11,0,"a",2,0,0
11,0,"a",3,0,0
11,0,"b",0,0,0
11,0,"b",1,0,0
11,0,"b",2,0,0
11,0,"b",3,3,1
11,1,"a",0,0,0
11,1,"a",1,2,1
11,1,"a",2,0,0
11,1,"a",3,0,0
11,1,"b",0,0,0
11,1,"b",1,9,0.642857142857143
11,1,"b",2,0,0
11,1,"b",3,5,0.357142857142857
11,2,"a",0,0,0
11,2,"a",1,0,0
11,2,"a",2,6,1
11,2,"a",3,0,0
11,2,"b",0,2,0.285714285714286
11,2,"b",1,5,0.714285714285714
11,2,"b",2,0,0
11,2,"b",3,0,0
11,3,"a",0,1,1
11,3,"a",1,0,0
11,3,"a",2,0,0
11,3,"a",3,0,0
11,3,"b",0,0,0
11,3,"b",1,0,0
11,3,"b",2,7,0.583333333333333
11,3,"b",3,5,0.416666666666667
12,0,"a",0,0,0
12,0,"a",1,0,0
12,0,"a",2,0,0
12,0,"a",3,3,1
12,0,"b",0,0,0
12,0,"b",1,0,0
12,0,"b",2,0,0
12,0,"b",3,3,1
12,1,"a",0,1,0.5
12,1,"a",1,1,0.5
12,1,"a",2,0,0
12,1,"a",3,0,0
12,1,"b",0,0,0
12,1,"b",1,4,0.5
12,1,"b",2,0,0
12,1,"b",3,4,0.5
12,2,"a",0,0,0
12,2,"a",1,0,0
12,2,"a",2,7,1
12,2,"a",3,0,0
12,2,"b",0,3,0.375
12,2,"b",1,5,0.625
12,2,"b",2,0,0
12,2,"b",3,0,0
12,3,"a",0,2,0.4
12,3,"a",1,0,0
12,3,"a",2,3,0.6
12,3,"a",3,0,0
12,3,"b",0,0,0
12,3,"b",1,0,0
12,3,"b",2,6,0.666666666666667
12,3,"b",3,3,0.333333333333333
13,0,"a",0,0,0
13,0,"a",1,0,0
13,0,"a",2,9,1
13,0,"a",3,0,0
13,0,"b",0,0,0
13,0,"b",1,0,0
13,0,"b",2,3,1
13,0,"b",3,0,0
13,1,"a",0,1,1
13,1,"a",1,0,0
13,1,"a",2,0,0
13,1,"a",3,0,0
13,1,"b",0,3,1
13,1,"b",1,0,0
13,1,"b",2,0,0
13,1,"b",3,0,0
13,2,"a",0,6,0.5
13,2,"a",1,0,0
13,2,"a",2,0,0
13,2,"a",3,6,0.5
13,2,"b",0,0,0
13,2,"b",1,0,0
13,2,"b",2,6,1
13,2,"b",3,0,0
13,3,"a",0,2,0.285714285714286
13,3,"a",1,5,0.714285714285714
13,3,"a",2,0,0
13,3,"a",3,0,0
13,3,"b",0,0,0
13,3,"b",1,0,0
13,3,"b",2,0,0
13,3,"b",3,4,1
14,0,"a",0,0,0
14,0,"a",1,0,0
14,0,"a",2,13,1
14,0,"a",3,0,0
14,0,"b",0,0,0
14,0,"b",1,0,0
14,0,"b",2,1,1
14,0,"b",3,0,0
14,1,"a",0,4,1
14,1,"a",1,0,0
14,1,"a",2,0,0
14,1,"a",3,0,0
14,1,"b",0,0,0
14,1,"b",1,0,0
14,1,"b",2,0,0
14,1,"b",3,0,0
14,2,"a",0,7,0.538461538461538
14,2,"a",1,0,0
14,2,"a",2,0,0
14,2,"a",3,6,0.461538461538462
14,2,"b",0,0,0
14,2,"b",1,0,0
14,2,"b",2,8,1
14,2,"b",3,0,0
14,3,"a",0,2,0.333333333333333
14,3,"a",1,4,0.666666666666667
14,3,"a",2,0,0
14,3,"a",3,0,0
14,3,"b",0,0,0
14,3,"b",1,0,0
14,3,"b",2,0,0
14,3,"b",3,0,0
15,0,"a",0,0,0
15,0,"a",1,0,0
15,0,"a",2,0,0
15,0,"a",3,3,1
15,0,"b",0,0,0
15,0,"b",1,0,0
15,0,"b",2,0,0
15,0,"b",3,3,1
15,1,"a",0,1,0.5
15,1,"a",1,1,0.5
15,1,"a",2,0,0
15,1,"a",3,0,0
15,1,"b",0,0,0
15,1,"b",1,3,0.5
15,1,"b",2,0,0
15,1,"b",3,3,0.5
15,2,"a",0,0,0
15,2,"a",1,0,0
15,2,"a",2,12,1
15,2,"a",3,0,0
