"Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Total.approvals","Vision","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Fluent.languages","openLabId","participant_id"
"2023-01-23T23:13:50.518000Z","2023-01-23T23:20:08.651000Z","2023-01-23T23:24:14.806000","2023-01-23T23:20:09.756354Z",379,62,"Yes",20,"Male","Asian","United States","United States","Vietnam","English","Yes","Unemployed (and job seeking)",NA,"UTbAXylhhV",1
"2023-01-23T23:14:18.274000Z","2023-01-23T23:22:12.964000Z","2023-01-23T23:25:56.424000","2023-01-23T23:22:13.296357Z",475,235,"Yes",24,"Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED",NA,"000aQ77mnV",2
"2023-01-23T23:22:07.678000Z","2023-01-23T23:29:13.885000Z","2023-01-23T23:31:01.954000","2023-01-23T23:29:14.233099Z",427,116,"Yes",31,"Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED",NA,"oMISos8dE-",3
"2023-01-23T23:28:49.551000Z","2023-01-23T23:38:38.048000Z","2023-01-24T00:05:43.844000","2023-01-23T23:38:38.459868Z",589,112,"Yes",19,"Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED",NA,"wA3fXmP2SB",4
"2023-01-23T23:29:56.749000Z","2023-01-23T23:38:49.542000Z","2023-01-24T00:05:46.539000","2023-01-23T23:38:49.924492Z",533,232,"Yes",21,"Male","Other","United States","United States","United States","English","Yes","Part-Time",NA,"yiYYKZ_Jic",6
"2023-01-23T23:30:05.730000Z","2023-01-23T23:38:18.160000Z","2023-01-24T00:07:00.323000","2023-01-23T23:38:18.517581Z",493,102,"Yes",28,"Female","Asian","Canada","United States","Canada","English","No","Full-Time",NA,"Jez9m5fSmb",5
"2023-01-23T23:31:33.535000Z","2023-01-23T23:41:59.985000Z","2023-01-24T00:08:29.091000","2023-01-23T23:42:00.508275Z",627,133,"Yes",26,"Female","White","United States","United States","United States","English","No","Part-Time",NA,"DM6BuHeL9e",7
"2023-01-23T23:40:13.026000Z","2023-01-23T23:49:28.030000Z","2023-01-24T00:09:38.138000","2023-01-23T23:49:28.595953Z",556,285,"Yes",34,"Male","Black","United States","United States","United States","English","Yes","Full-Time",NA,"p315cK_0zd",8
"2023-01-23T23:44:26.139000Z","2023-01-23T23:53:54.048000Z","2023-01-24T00:11:05.638000","2023-01-23T23:53:54.439856Z",568,14,"Yes",23,"Female","White","United States","United States","United States","English","No","Unemployed (and job seeking)",NA,"dWwT82ky4_",9
"2023-01-23T23:46:01.222000Z","2023-01-24T00:05:03.527000Z","2023-01-24T00:12:28.747000","2023-01-24T00:05:03.877431Z",1143,211,"Yes",21,"Female","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)",NA,"aPq5tmRGtz",10
