participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
1,hard,0,hidden,hard_c_hid_13-ab-ba,1,,,3.0,ab,ba,ab,ba,False,0.64,0.0,0.5474330357142857,0.06816893424036281,1.3480463333591723,0.0,0.4642857142857143,0.041666666666666664,1.382083828583547,0.0,control,,,,,
1,hard,1,hidden,hard_c_hid_21-ba-ab,2,,,1.0,ba,ab,ab,ab,True,0.36,0.6,0.36917162698412703,0.6177662037037037,0.42517525053686966,1.0,0.5416666666666666,0.65625,0.16430305129127643,1.0,control,,,,,
1,hard,2,hidden,hard_c_hid_31-ba-bb,3,,,1.0,ba,bb,bb,bb,True,0.0,0.36,0.04917800453514738,0.42947491496598633,1.266745534757843,1.0,0.027777777777777776,0.65625,1.7780793653239748,1.0,control,,,,,
1,hard,3,visible,hard_c_vis_0b3,0,b,3.0,3.0,a,b,b,b,True,0.0,0.4,0.03571428571428571,0.32142857142857145,1.133098464739279,1.0,,,,,control,,,,,
1,hard,4,visible,hard_c_vis_1a0,1,a,1.0,0.0,a,b,a,b,False,0.4,0.0,0.375,0.03571428571428571,1.2527629684953678,0.0,,,,,control,,,,,
1,hard,5,visible,hard_c_vis_3a2,3,a,2.0,2.0,a,b,a,a,True,1.0,0.0,0.9166666666666666,0.03125,2.0471806794616145,1.0,,,,,control,,,,,
1,hard,6,visible,hard_c_vis_3b1,3,b,2.0,1.0,a,b,b,a,False,0.0,0.6,0.027777777777777776,0.65625,1.7780793653239748,0.0,,,,,control,,,,,
1,hard,7,hidden,hard_c_hid_12-ab-ba,1,,,2.0,ab,ba,ba,ba,True,0.0,0.24,0.07719494047619048,0.33545918367346933,0.8991505838461576,1.0,0.03571428571428571,0.041666666666666664,0.04292504471703377,1.0,control,,,,,
1,hard,8,visible,hard_c_vis_2a2,2,a,2.0,2.0,a,b,a,a,True,1.0,0.0,0.9166666666666666,0.03125,2.0471806794616145,1.0,,,,,control,,,,,
1,hard,9,hidden,hard_c_hid_03-aa-ab,0,,,3.0,aa,ab,ab,ab,True,0.0,0.4,0.07060185185185185,0.33314732142857145,0.9317454144487498,1.0,0.03571428571428571,0.32142857142857145,1.133098464739279,1.0,control,,,,,
1,hard,10,hidden,hard_c_hid_00-aa-bb,0,,,0.0,aa,bb,aa,aa,True,0.4,0.0,0.2997685185185185,0.0601438492063492,0.9148132070273055,1.0,0.32142857142857145,0.03571428571428571,1.133098464739279,1.0,control,,,,,
1,hard,11,visible,hard_c_vis_2a0,2,a,2.0,0.0,a,b,b,b,True,0.0,0.4,0.027777777777777776,0.28125,1.093162683900545,1.0,,,,,control,,,,,
1,hard,12,hidden,hard_c_hid_23-ba-ab,2,,,3.0,ba,ab,ba,ba,True,0.4,0.0,0.27542162698412703,0.07130456349206349,0.7846066876735925,1.0,0.041666666666666664,0.03125,0.07637297878457396,1.0,control,,,,,
1,hard,13,visible,hard_c_vis_2a1,2,a,2.0,1.0,a,b,b,b,True,0.0,0.6,0.027777777777777776,0.65625,1.7780793653239748,1.0,,,,,control,,,,,
1,hard,14,hidden,hard_c_hid_10-aa-bb,1,,,0.0,aa,bb,aa,bb,False,0.24,0.0,0.23330026455026456,0.04618409863945579,0.8241770020791547,0.0,0.375,0.03571428571428571,1.2527629684953678,0.0,control,,,,,
1,hard,15,visible,hard_c_vis_1b3,1,b,1.0,3.0,a,b,b,a,False,0.0,0.4,0.041666666666666664,0.4642857142857143,1.382083828583547,0.0,,,,,control,,,,,
1,hard,16,visible,hard_c_vis_0a0,0,a,3.0,0.0,a,b,a,a,True,0.4,0.0,0.32142857142857145,0.03571428571428571,1.133098464739279,1.0,,,,,control,,,,,
1,hard,17,hidden,hard_c_hid_13-aa-ba,1,,,3.0,aa,ba,aa,ba,False,0.4,0.0,0.35333994708994704,0.06816893424036281,0.9916732440045153,0.0,0.041666666666666664,0.041666666666666664,0.0,,control,,,,,
1,hard,18,hidden,hard_c_hid_33-aa-ba,3,,,3.0,aa,ba,aa,aa,True,0.4,0.0,0.3008786848072562,0.0610827664399093,0.911740539723378,1.0,0.027777777777777776,0.027777777777777776,0.0,,control,,,,,
1,hard,19,visible,hard_c_vis_2b0,2,b,1.0,0.0,a,b,a,b,False,0.4,0.0,0.375,0.03571428571428571,1.2527629684953678,0.0,,,,,control,,,,,
2,easy,1,visible,easy_p_vis_2a3a03,2,a,3.0,,0,3,,0,True,0.4,0.0,0.4642857142857143,0.03571428571428571,1.4250088733005808,1.0,,,,,prediction,a,0.0,,,
2,easy,2,visible,easy_p_vis_1a0a20,1,a,0.0,,2,0,,2,True,1.0,0.0,0.95,0.016666666666666666,2.1972245773362196,1.0,,,,,prediction,a,2.0,,,
2,easy,3,visible,easy_p_vis_3b3b13,3,b,3.0,,1,3,,3,True,0.0,1.0,0.25,0.25,0.0,0.0,,,,,prediction,b,3.0,,,
2,easy,4,hidden,easy_p_hid_0ba30,0,b,,,3,0,,3,False,0.4,0.6,0.1263427734375,0.4677734375,0.9196719146317294,0.0,0.01666259765625,0.01666259765625,0.0,,prediction,a,0.0,,,
2,easy,5,hidden,easy_p_hid_1ba21,1,b,,,2,1,,2,True,1.0,0.0,0.265869140625,0.1397705078125,0.4225934817664817,1.0,0.9501953125,0.01666259765625,2.1974454497832796,1.0,prediction,a,2.0,,,
2,easy,6,hidden,easy_p_hid_0aa10,0,a,,,1,0,,0,True,0.0,0.6,0.023895263671875,0.57080078125,1.689035633720895,1.0,0.015625,0.578125,1.768979440896235,1.0,prediction,a,0.0,,,
2,easy,7,hidden,easy_p_hid_2ab13,2,a,,,1,3,,3,True,0.0,0.4,0.24658203125,0.24658203125,0.0,,0.25,0.25,0.0,,prediction,b,3.0,,,
2,easy,8,hidden,easy_p_hid_2aa31,2,a,,,3,1,,3,False,0.0,0.24,0.030670166015625,0.1922607421875,0.804970025024538,0.0,0.01666259765625,0.01666259765625,0.0,,prediction,a,1.0,,,
2,easy,9,visible,easy_p_vis_1b0b21,1,b,0.0,,2,1,,2,True,1.0,0.0,0.25,0.25,0.0,1.0,,,,,prediction,b,2.0,,,
