participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an
1,22.0,hard,control,Experiment 1 (no preview),1,hidden,1.0,,,,3.0,ab,ba,ab,ba,0.0,4694.036000095366,0.6984854647549706,0.00034961343859741915,2.074056541198762,0.0,0.49983344437041977,0.00019984012789768185,1.789485430844661,0.0
1,22.0,hard,control,Experiment 1 (no preview),2,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,6457.54800000001,0.4282697045856112,0.713815533146124,0.4321267651346004,1.0,0.5997202238209431,0.7140205596801827,0.15130504838176764,1.0
1,22.0,hard,control,Experiment 1 (no preview),3,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,7118.08800004769,0.0002531009815402611,0.571042591668414,1.9011346116804324,1.0,0.00012493753123438283,0.7140205596801827,2.0955668417953777,1.0
1,22.0,hard,control,Experiment 1 (no preview),4,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,2537.9190000238304,0.00016655562958027982,0.20003996802557952,1.097081335751024,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),5,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,1656.1240000238467,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),6,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,500.6550000715361,0.9996251874062968,0.00014277555682467162,2.3961277387178126,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),7,visible,3.0,b,2.0,,1.0,a,b,b,a,0.0,16902.52200004767,0.00012493753123438283,0.7140205596801827,2.0955668417953777,0.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),8,hidden,1.0,,,,2.0,ab,ba,ba,ba,1.0,1741.3000000476895,0.0006579865028161641,0.3333499593899741,1.45981712367271,1.0,0.00016655562958027982,0.00019984012789768185,0.00033223633631522526,1.0
1,22.0,hard,control,Experiment 1 (no preview),9,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,577.4260000715149,0.9996251874062968,0.00014277555682467162,2.3961277387178126,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),10,hidden,0.0,,,,3.0,aa,ab,ab,ab,1.0,2060.771000000008,0.00036624099936179426,0.20021919829497234,1.095686963148342,1.0,0.00016655562958027982,0.20003996802557952,1.097081335751024,1.0
1,22.0,hard,control,Experiment 1 (no preview),11,hidden,0.0,,,,0.0,aa,bb,aa,aa,1.0,4037.4220000715286,0.3331579849398625,0.00048495660238803066,1.4610944920030262,1.0,0.3332778147901399,0.00019984012789768188,1.4642125337388965,1.0
1,22.0,hard,control,Experiment 1 (no preview),12,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,1254.094000047684,0.00012493753123438283,0.2856938892061679,1.348625240222501,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),13,hidden,2.0,,,,3.0,ba,ab,ba,ba,1.0,3344.33400007154,0.2856653414741587,0.00035472671098718545,1.3462588260261117,1.0,0.00019984012789768185,0.00014277555682467162,0.0005696698370561387,1.0
1,22.0,hard,control,Experiment 1 (no preview),14,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,787.7590000476921,0.00012493753123438283,0.7140205596801827,2.0955668417953777,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),15,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,1218.9990000238176,0.2399627199668169,0.0002308866711082255,1.2213595730800073,0.0,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0
