participant_id,task,condition,predicted_accuracy,fsm,mm_accuracy,count_nan
1,control,visible,0.598687660112452,hard,0.6,0.0
1,control,hidden,0.6899744811276124,hard,0.7,0.0
1,control,hidden_an,0.598687660112452,hard,0.75,2.0
2,prediction,visible,0.9820137900379085,easy,0.8,0.0
2,prediction,hidden,0.5,easy,0.5714285714285714,3.0
2,prediction,hidden_an,0.6899744811276124,easy,,6.0
3,prediction,visible,0.7685247834990176,easy,0.7,0.0
3,prediction,hidden,0.8320183851339245,easy,0.8,0.0
3,prediction,hidden_an,0.9820137900379085,easy,,5.0
4,prediction,visible,0.5,hard,0.4,0.0
4,prediction,hidden,0.5,hard,0.2,0.0
4,prediction,hidden_an,0.5,hard,0.5,4.0
5,explanation,visible,0.598687660112452,hard,0.5,0.0
5,explanation,hidden,0.7685247834990176,hard,0.7,0.0
5,explanation,hidden_an,0.9820137900379085,hard,0.8,0.0
6,control,visible,0.6899744811276124,hard,0.7,0.0
6,control,hidden,0.598687660112452,hard,0.5,0.0
6,control,hidden_an,0.5,hard,0.4444444444444444,1.0
7,prediction,visible,0.5,hard,0.4,0.0
7,prediction,hidden,0.5,hard,0.5,0.0
7,prediction,hidden_an,0.5,hard,0.5714285714285714,3.0
8,control,visible,0.8807970779778824,easy,0.8,0.0
8,control,hidden,0.9820137900379085,easy,0.9,0.0
8,control,hidden_an,0.7685247834990176,easy,0.4,0.0
9,prediction,visible,0.9168273035060777,easy,0.9,0.0
9,prediction,hidden,0.6899744811276124,easy,0.6,0.0
9,prediction,hidden_an,0.5,easy,,5.0
10,control,visible,0.9820137900379085,easy,1.0,0.0
10,control,hidden,0.6899744811276124,easy,0.7,0.0
10,control,hidden_an,0.5,easy,0.5,0.0
11,explanation,visible,0.5,hard,0.5,0.0
11,explanation,hidden,0.598687660112452,hard,0.5,0.0
11,explanation,hidden_an,0.598687660112452,hard,0.6,0.0
12,control,visible,0.8320183851339245,hard,0.8,0.0
12,control,hidden,0.5,hard,0.5,0.0
12,control,hidden_an,0.5,hard,0.5555555555555556,1.0
13,prediction,visible,0.9820137900379085,easy,1.0,0.0
13,prediction,hidden,0.8320183851339245,easy,0.8,0.0
13,prediction,hidden_an,0.9820137900379085,easy,,6.0
14,explanation,visible,0.6899744811276124,easy,0.7,0.0
14,explanation,hidden,0.6899744811276124,easy,0.6,0.0
14,explanation,hidden_an,0.6899744811276124,easy,0.7,0.0
15,explanation,visible,0.598687660112452,hard,0.6,0.0
15,explanation,hidden,0.5,hard,0.5,0.0
15,explanation,hidden_an,0.598687660112452,hard,0.6,0.0
16,explanation,visible,0.6899744811276124,hard,0.5,0.0
16,explanation,hidden,0.5,hard,0.2,0.0
16,explanation,hidden_an,0.5,hard,0.5,0.0
17,prediction,visible,0.5,hard,0.4,0.0
17,prediction,hidden,0.5,hard,0.4,0.0
17,prediction,hidden_an,0.5,hard,0.375,2.0
18,prediction,visible,0.7685247834990176,hard,0.7,0.0
18,prediction,hidden,0.9820137900379085,hard,0.7142857142857143,3.0
18,prediction,hidden_an,0.9820137900379085,hard,,6.0
20,prediction,visible,0.598687660112452,hard,0.6,0.0
20,prediction,hidden,0.5,hard,0.3,0.0
20,prediction,hidden_an,0.5,hard,0.5714285714285714,3.0
21,prediction,visible,0.9820137900379085,easy,0.9,0.0
21,prediction,hidden,0.8807970779778824,easy,0.75,2.0
21,prediction,hidden_an,0.973403006423134,easy,,6.0
22,explanation,visible,0.5,easy,0.5,0.0
22,explanation,hidden,0.598687660112452,easy,0.6,0.0
22,explanation,hidden_an,0.6899744811276124,easy,0.7,0.0
23,control,visible,0.7685247834990176,easy,0.8,0.0
23,control,hidden,0.6899744811276124,easy,0.7,0.0
23,control,hidden_an,0.6899744811276124,easy,0.6,0.0
24,control,visible,0.5,easy,0.5,0.0
24,control,hidden,0.7685247834990176,easy,0.8,0.0
24,control,hidden_an,0.598687660112452,easy,0.7,0.0
25,prediction,visible,0.5,hard,0.5,0.0
25,prediction,hidden,0.7685247834990176,hard,0.7,0.0
25,prediction,hidden_an,0.6899744811276124,hard,0.7142857142857143,3.0
26,prediction,visible,0.7685247834990176,easy,0.8,0.0
26,prediction,hidden,0.598687660112452,easy,0.5,0.0
26,prediction,hidden_an,0.5,easy,0.42857142857142855,3.0
27,prediction,visible,0.598687660112452,hard,0.6,0.0
27,prediction,hidden,0.7685247834990176,hard,0.7,0.0
27,prediction,hidden_an,0.7685247834990176,hard,0.7777777777777778,1.0
28,explanation,visible,0.5,easy,0.3,0.0
28,explanation,hidden,0.5,easy,0.5,0.0
28,explanation,hidden_an,0.5,easy,0.5,0.0
29,prediction,visible,0.8807970779778824,easy,0.9,0.0
29,prediction,hidden,0.598687660112452,easy,0.5,0.0
29,prediction,hidden_an,0.5,easy,,5.0
30,prediction,visible,0.7685247834990176,easy,0.8,0.0
30,prediction,hidden,0.6899744811276124,easy,0.7,0.0
30,prediction,hidden_an,0.6899744811276124,easy,0.7142857142857143,3.0
31,explanation,visible,0.6899744811276124,hard,0.6,0.0
31,explanation,hidden,0.5,hard,0.4,0.0
31,explanation,hidden_an,0.5,hard,0.3333333333333333,1.0
32,explanation,visible,0.5,easy,0.5,0.0
32,explanation,hidden,0.6899744811276124,easy,0.6,0.0
32,explanation,hidden_an,0.5,easy,0.5,0.0
33,explanation,visible,0.7685247834990176,easy,0.7,0.0
33,explanation,hidden,0.8320183851339245,easy,0.8,0.0
33,explanation,hidden_an,0.8320183851339245,easy,0.8,0.0
34,explanation,visible,0.598687660112452,easy,0.6,0.0
34,explanation,hidden,0.7685247834990176,easy,0.7,0.0
34,explanation,hidden_an,0.7685247834990176,easy,0.7,0.0
35,control,visible,0.598687660112452,hard,0.6,0.0
35,control,hidden,0.7685247834990176,hard,0.7,0.0
