participant_id,fsm,task,condition,beta_max,p_correct_r3
1,hard,control,visible_mm,0.05,0.5744425168116589
1,hard,control,visible_fsm,0.06,0.5890404340586651
1,hard,control,hidden_mm,0.09,0.6318124177361016
1,hard,control,hidden_fsm,0.1,0.6456563062257955
1,hard,control,hidden_an_mm,0.05,0.5744425168116589
1,hard,control,hidden_an_fsm,0.07,0.6034832498647262
2,easy,prediction,visible_mm,0.39,0.9121360851706987
2,easy,prediction,visible_fsm,0.25,0.8175744761936437
2,easy,prediction,hidden_mm,0.01,0.5149955016194101
2,easy,prediction,hidden_fsm,0.17,0.7349725994665188
2,easy,prediction,hidden_an_mm,0.1,0.6456563062257955
2,easy,prediction,hidden_an_fsm,0.39,0.9121360851706987
3,easy,prediction,visible_mm,0.16,0.7231218051243898
3,easy,prediction,visible_fsm,0.16,0.7231218051243898
3,easy,prediction,hidden_mm,0.15,0.710949502625004
3,easy,prediction,hidden_fsm,0.18,0.7464939833376623
3,easy,prediction,hidden_an_mm,0.24,0.8084546514385326
3,easy,prediction,hidden_an_fsm,0.25,0.8175744761936437
4,hard,prediction,visible_mm,0.0,0.5
4,hard,prediction,visible_fsm,0.0,0.5
4,hard,prediction,hidden_mm,0.0,0.5
4,hard,prediction,hidden_fsm,0.0,0.5
4,hard,prediction,hidden_an_mm,0.0,0.5
4,hard,prediction,hidden_an_fsm,0.0,0.5
5,hard,explanation,visible_mm,0.04,0.5597136492671929
5,hard,explanation,visible_fsm,0.0,0.5
5,hard,explanation,hidden_mm,0.12,0.6726070170677604
5,hard,explanation,hidden_fsm,0.12,0.6726070170677604
5,hard,explanation,hidden_an_mm,0.72,0.9868746816628973
5,hard,explanation,hidden_an_fsm,0.73,0.9876295852598376
6,hard,control,visible_mm,0.1,0.6456563062257955
6,hard,control,visible_fsm,0.11,0.6592603884513853
6,hard,control,hidden_mm,0.03,0.5448788923735801
6,hard,control,hidden_fsm,0.02,0.5299640517645717
6,hard,control,hidden_an_mm,0.0,0.5
6,hard,control,hidden_an_fsm,0.06,0.5890404340586651
7,hard,prediction,visible_mm,0.0,0.5
7,hard,prediction,visible_fsm,0.0,0.5
7,hard,prediction,hidden_mm,0.01,0.5149955016194101
7,hard,prediction,hidden_fsm,0.0,0.5
7,hard,prediction,hidden_an_mm,0.01,0.5149955016194101
7,hard,prediction,hidden_an_fsm,0.08,0.617747874769249
8,easy,control,visible_mm,0.38,0.907207046882843
8,easy,control,visible_fsm,0.15,0.710949502625004
8,easy,control,hidden_mm,0.23,0.7989910002494707
8,easy,control,hidden_fsm,0.09,0.6318124177361016
8,easy,control,hidden_an_mm,0.19,0.7576796390037048
8,easy,control,hidden_an_fsm,0.15,0.710949502625004
9,easy,prediction,visible_mm,0.27,0.8347951298093853
9,easy,prediction,visible_fsm,0.27,0.8347951298093853
9,easy,prediction,hidden_mm,0.09,0.6318124177361016
9,easy,prediction,hidden_fsm,0.09,0.6318124177361016
9,easy,prediction,hidden_an_mm,0.0,0.5
9,easy,prediction,hidden_an_fsm,0.0,0.5
10,easy,control,visible_mm,0.99,0.9973748797433399
10,easy,control,visible_fsm,0.99,0.9973748797433399
10,easy,control,hidden_mm,0.09,0.6318124177361016
10,easy,control,hidden_fsm,0.09,0.6318124177361016
10,easy,control,hidden_an_mm,0.0,0.5
10,easy,control,hidden_an_fsm,0.0,0.5
11,hard,explanation,visible_mm,0.03,0.5448788923735801
11,hard,explanation,visible_fsm,0.0,0.5
11,hard,explanation,hidden_mm,0.03,0.5448788923735801
11,hard,explanation,hidden_fsm,0.0,0.5
11,hard,explanation,hidden_an_mm,0.1,0.6456563062257955
11,hard,explanation,hidden_an_fsm,0.26,0.826353352980995
12,hard,control,visible_mm,0.18,0.7464939833376623
12,hard,control,visible_fsm,0.18,0.7464939833376623
12,hard,control,hidden_mm,0.0,0.5
12,hard,control,hidden_fsm,0.0,0.5
12,hard,control,hidden_an_mm,0.0,0.5
12,hard,control,hidden_an_fsm,0.0,0.5
13,easy,prediction,visible_mm,0.99,0.9973748797433399
13,easy,prediction,visible_fsm,0.99,0.9973748797433399
13,easy,prediction,hidden_mm,0.17,0.7349725994665188
13,easy,prediction,hidden_fsm,0.18,0.7464939833376623
13,easy,prediction,hidden_an_mm,0.26,0.826353352980995
13,easy,prediction,hidden_an_fsm,0.25,0.8175744761936437
14,easy,explanation,visible_mm,0.09,0.6318124177361016
14,easy,explanation,visible_fsm,0.05,0.5744425168116589
14,easy,explanation,hidden_mm,0.1,0.6456563062257955
14,easy,explanation,hidden_fsm,0.1,0.6456563062257955
14,easy,explanation,hidden_an_mm,0.09,0.6318124177361016
14,easy,explanation,hidden_an_fsm,0.11,0.6592603884513853
15,hard,explanation,visible_mm,0.05,0.5744425168116589
15,hard,explanation,visible_fsm,0.05,0.5744425168116589
15,hard,explanation,hidden_mm,0.0,0.5
15,hard,explanation,hidden_fsm,0.0,0.5
15,hard,explanation,hidden_an_mm,0.04,0.5597136492671929
15,hard,explanation,hidden_an_fsm,0.04,0.5597136492671929
16,hard,explanation,visible_mm,0.08,0.617747874769249
16,hard,explanation,visible_fsm,0.0,0.5
16,hard,explanation,hidden_mm,0.0,0.5
16,hard,explanation,hidden_fsm,0.0,0.5
16,hard,explanation,hidden_an_mm,0.04,0.5597136492671929
16,hard,explanation,hidden_an_fsm,0.0,0.5
17,hard,prediction,visible_mm,0.0,0.5
17,hard,prediction,visible_fsm,0.0,0.5
17,hard,prediction,hidden_mm,0.0,0.5
17,hard,prediction,hidden_fsm,0.0,0.5
17,hard,prediction,hidden_an_mm,0.0,0.5
17,hard,prediction,hidden_an_fsm,0.0,0.5
18,hard,prediction,visible_mm,0.13,0.6856801139382538
18,hard,prediction,visible_fsm,0.18,0.7464939833376623
18,hard,prediction,hidden_mm,0.2,0.7685247834990176
18,hard,prediction,hidden_fsm,0.0,0.5
18,hard,prediction,hidden_an_mm,0.23,0.7989910002494707
18,hard,prediction,hidden_an_fsm,0.07,0.6034832498647262
20,hard,prediction,visible_mm,0.05,0.5744425168116589
20,hard,prediction,visible_fsm,0.05,0.5744425168116589
20,hard,prediction,hidden_mm,0.0,0.5
20,hard,prediction,hidden_fsm,0.0,0.5
20,hard,prediction,hidden_an_mm,0.0,0.5
20,hard,prediction,hidden_an_fsm,0.0,0.5
21,easy,prediction,visible_mm,0.99,0.9973748797433399
21,easy,prediction,visible_fsm,0.99,0.9973748797433399
21,easy,prediction,hidden_mm,0.22,0.7891817065222528
21,easy,prediction,hidden_fsm,0.29,0.8506870654691562
21,easy,prediction,hidden_an_mm,0.29,0.8506870654691562
21,easy,prediction,hidden_an_fsm,0.29,0.8506870654691562
22,easy,explanation,visible_mm,0.01,0.5149955016194101
22,easy,explanation,visible_fsm,0.01,0.5149955016194101
22,easy,explanation,hidden_mm,0.06,0.5890404340586651
22,easy,explanation,hidden_fsm,0.06,0.5890404340586651
22,easy,explanation,hidden_an_mm,0.13,0.6856801139382538
22,easy,explanation,hidden_an_fsm,0.13,0.6856801139382538
23,easy,control,visible_mm,0.15,0.710949502625004
23,easy,control,visible_fsm,0.15,0.710949502625004
23,easy,control,hidden_mm,0.08,0.617747874769249
23,easy,control,hidden_fsm,0.08,0.617747874769249
23,easy,control,hidden_an_mm,0.11,0.6592603884513853
23,easy,control,hidden_an_fsm,0.03,0.5448788923735801
24,easy,control,visible_mm,0.01,0.5149955016194101
24,easy,control,visible_fsm,0.0,0.5
24,easy,control,hidden_mm,0.16,0.7231218051243898
24,easy,control,hidden_fsm,0.16,0.7231218051243898
24,easy,control,hidden_an_mm,0.07,0.6034832498647262
24,easy,control,hidden_an_fsm,0.07,0.6034832498647262
25,hard,prediction,visible_mm,0.01,0.5149955016194101
25,hard,prediction,visible_fsm,0.01,0.5149955016194101
25,hard,prediction,hidden_mm,0.15,0.710949502625004
25,hard,prediction,hidden_fsm,0.15,0.710949502625004
25,hard,prediction,hidden_an_mm,0.12,0.6726070170677604
25,hard,prediction,hidden_an_fsm,0.27,0.8347951298093853
26,easy,prediction,visible_mm,0.16,0.7231218051243898
26,easy,prediction,visible_fsm,0.16,0.7231218051243898
26,easy,prediction,hidden_mm,0.03,0.5448788923735801
26,easy,prediction,hidden_fsm,0.03,0.5448788923735801
26,easy,prediction,hidden_an_mm,0.0,0.5
26,easy,prediction,hidden_an_fsm,0.19,0.7576796390037048
27,hard,prediction,visible_mm,0.06,0.5890404340586651
27,hard,prediction,visible_fsm,0.06,0.5890404340586651
27,hard,prediction,hidden_mm,0.14,0.6984652160025387
27,hard,prediction,hidden_fsm,0.15,0.710949502625004
27,hard,prediction,hidden_an_mm,0.14,0.6984652160025387
27,hard,prediction,hidden_an_fsm,0.27,0.8347951298093853
28,easy,explanation,visible_mm,0.0,0.5
28,easy,explanation,visible_fsm,0.0,0.5
28,easy,explanation,hidden_mm,0.0,0.5
28,easy,explanation,hidden_fsm,0.0,0.5
28,easy,explanation,hidden_an_mm,0.0,0.5
28,easy,explanation,hidden_an_fsm,0.0,0.5
29,easy,prediction,visible_mm,0.24,0.8084546514385326
29,easy,prediction,visible_fsm,0.25,0.8175744761936437
29,easy,prediction,hidden_mm,0.03,0.5448788923735801
29,easy,prediction,hidden_fsm,0.03,0.5448788923735801
29,easy,prediction,hidden_an_mm,0.02,0.5299640517645717
29,easy,prediction,hidden_an_fsm,0.02,0.5299640517645717
30,easy,prediction,visible_mm,0.15,0.710949502625004
30,easy,prediction,visible_fsm,0.15,0.710949502625004
30,easy,prediction,hidden_mm,0.1,0.6456563062257955
30,easy,prediction,hidden_fsm,0.09,0.6318124177361016
30,easy,prediction,hidden_an_mm,0.11,0.6592603884513853
30,easy,prediction,hidden_an_fsm,0.0,0.5
31,hard,explanation,visible_mm,0.07,0.6034832498647262
31,hard,explanation,visible_fsm,0.06,0.5890404340586651
31,hard,explanation,hidden_mm,0.0,0.5
31,hard,explanation,hidden_fsm,0.0,0.5
31,hard,explanation,hidden_an_mm,0.0,0.5
31,hard,explanation,hidden_an_fsm,0.0,0.5
32,easy,explanation,visible_mm,0.0,0.5
32,easy,explanation,visible_fsm,0.0,0.5
32,easy,explanation,hidden_mm,0.1,0.6456563062257955
32,easy,explanation,hidden_fsm,0.1,0.6456563062257955
32,easy,explanation,hidden_an_mm,0.0,0.5
32,easy,explanation,hidden_an_fsm,0.04,0.5597136492671929
33,easy,explanation,visible_mm,0.11,0.6592603884513853
33,easy,explanation,visible_fsm,0.11,0.6592603884513853
33,easy,explanation,hidden_mm,0.19,0.7576796390037048
33,easy,explanation,hidden_fsm,0.18,0.7464939833376623
33,easy,explanation,hidden_an_mm,0.21,0.7790261077798122
33,easy,explanation,hidden_an_fsm,0.21,0.7790261077798122
34,easy,explanation,visible_mm,0.05,0.5744425168116589
34,easy,explanation,visible_fsm,0.05,0.5744425168116589
34,easy,explanation,hidden_mm,0.12,0.6726070170677604
34,easy,explanation,hidden_fsm,0.11,0.6592603884513853
34,easy,explanation,hidden_an_mm,0.14,0.6984652160025387
34,easy,explanation,hidden_an_fsm,0.14,0.6984652160025387
35,hard,control,visible_mm,0.06,0.5890404340586651
35,hard,control,visible_fsm,0.06,0.5890404340586651
35,hard,control,hidden_mm,0.11,0.6592603884513853
35,hard,control,hidden_fsm,0.11,0.6592603884513853
35,hard,control,hidden_an_mm,0.07,0.6034832498647262
35,hard,control,hidden_an_fsm,0.14,0.6984652160025387
36,hard,control,visible_mm,0.11,0.6592603884513853
36,hard,control,visible_fsm,0.06,0.5890404340586651
36,hard,control,hidden_mm,0.07,0.6034832498647262
36,hard,control,hidden_fsm,0.0,0.5
36,hard,control,hidden_an_mm,0.27,0.8347951298093853
36,hard,control,hidden_an_fsm,0.13,0.6856801139382538
37,hard,control,visible_mm,0.18,0.7464939833376623
37,hard,control,visible_fsm,0.12,0.6726070170677604
37,hard,control,hidden_mm,0.0,0.5
37,hard,control,hidden_fsm,0.0,0.5
37,hard,control,hidden_an_mm,0.0,0.5
37,hard,control,hidden_an_fsm,0.0,0.5
38,hard,control,visible_mm,0.06,0.5890404340586651
38,hard,control,visible_fsm,0.06,0.5890404340586651
38,hard,control,hidden_mm,0.0,0.5
38,hard,control,hidden_fsm,0.0,0.5
38,hard,control,hidden_an_mm,0.03,0.5448788923735801
38,hard,control,hidden_an_fsm,0.0,0.5
39,easy,control,visible_mm,0.15,0.710949502625004
39,easy,control,visible_fsm,0.15,0.710949502625004
39,easy,control,hidden_mm,0.03,0.5448788923735801
39,easy,control,hidden_fsm,0.03,0.5448788923735801
39,easy,control,hidden_an_mm,0.05,0.5744425168116589
39,easy,control,hidden_an_fsm,0.05,0.5744425168116589
40,easy,control,visible_mm,0.06,0.5890404340586651
40,easy,control,visible_fsm,0.06,0.5890404340586651
40,easy,control,hidden_mm,0.09,0.6318124177361016
40,easy,control,hidden_fsm,0.1,0.6456563062257955
40,easy,control,hidden_an_mm,0.06,0.5890404340586651
40,easy,control,hidden_an_fsm,0.09,0.6318124177361016
41,easy,control,visible_mm,0.09,0.6318124177361016
41,easy,control,visible_fsm,0.09,0.6318124177361016
41,easy,control,hidden_mm,0.0,0.5
41,easy,control,hidden_fsm,0.0,0.5
41,easy,control,hidden_an_mm,0.0,0.5
41,easy,control,hidden_an_fsm,0.0,0.5
42,easy,explanation,visible_mm,0.16,0.7231218051243898
42,easy,explanation,visible_fsm,0.1,0.6456563062257955
42,easy,explanation,hidden_mm,0.0,0.5
42,easy,explanation,hidden_fsm,0.01,0.5149955016194101
42,easy,explanation,hidden_an_mm,0.0,0.5
42,easy,explanation,hidden_an_fsm,0.07,0.6034832498647262
43,easy,explanation,visible_mm,0.21,0.7790261077798122
43,easy,explanation,visible_fsm,0.1,0.6456563062257955
43,easy,explanation,hidden_mm,0.23,0.7989910002494707
43,easy,explanation,hidden_fsm,0.18,0.7464939833376623
43,easy,explanation,hidden_an_mm,0.81,0.9923091241184917
43,easy,explanation,hidden_an_fsm,0.99,0.9973748797433399
44,easy,explanation,visible_mm,0.05,0.5744425168116589
44,easy,explanation,visible_fsm,0.05,0.5744425168116589
44,easy,explanation,hidden_mm,0.0,0.5
44,easy,explanation,hidden_fsm,0.0,0.5
44,easy,explanation,hidden_an_mm,0.0,0.5
44,easy,explanation,hidden_an_fsm,0.07,0.6034832498647262
45,easy,explanation,visible_mm,0.08,0.617747874769249
45,easy,explanation,visible_fsm,0.11,0.6592603884513853
45,easy,explanation,hidden_mm,0.01,0.5149955016194101
45,easy,explanation,hidden_fsm,0.0,0.5
45,easy,explanation,hidden_an_mm,0.01,0.5149955016194101
45,easy,explanation,hidden_an_fsm,0.0,0.5
46,easy,explanation,visible_mm,0.06,0.5890404340586651
46,easy,explanation,visible_fsm,0.05,0.5744425168116589
46,easy,explanation,hidden_mm,0.05,0.5744425168116589
46,easy,explanation,hidden_fsm,0.06,0.5890404340586651
46,easy,explanation,hidden_an_mm,0.06,0.5890404340586651
46,easy,explanation,hidden_an_fsm,0.13,0.6856801139382538
47,easy,explanation,visible_mm,0.0,0.5
47,easy,explanation,visible_fsm,0.0,0.5
47,easy,explanation,hidden_mm,0.28,0.8429045311145473
47,easy,explanation,hidden_fsm,0.28,0.8429045311145473
47,easy,explanation,hidden_an_mm,0.21,0.7790261077798122
47,easy,explanation,hidden_an_fsm,0.5,0.9525741268224333
48,easy,explanation,visible_mm,0.04,0.5597136492671929
48,easy,explanation,visible_fsm,0.0,0.5
48,easy,explanation,hidden_mm,0.13,0.6856801139382538
48,easy,explanation,hidden_fsm,0.11,0.6592603884513853
48,easy,explanation,hidden_an_mm,0.25,0.8175744761936437
48,easy,explanation,hidden_an_fsm,0.26,0.826353352980995
50,easy,explanation,visible_mm,0.1,0.6456563062257955
50,easy,explanation,visible_fsm,0.1,0.6456563062257955
50,easy,explanation,hidden_mm,0.12,0.6726070170677604
50,easy,explanation,hidden_fsm,0.12,0.6726070170677604
50,easy,explanation,hidden_an_mm,0.27,0.8347951298093853
50,easy,explanation,hidden_an_fsm,0.27,0.8347951298093853
51,easy,explanation,visible_mm,0.0,0.5
51,easy,explanation,visible_fsm,0.0,0.5
51,easy,explanation,hidden_mm,0.05,0.5744425168116589
51,easy,explanation,hidden_fsm,0.05,0.5744425168116589
51,easy,explanation,hidden_an_mm,0.07,0.6034832498647262
51,easy,explanation,hidden_an_fsm,0.07,0.6034832498647262
52,hard,explanation,visible_mm,0.0,0.5
52,hard,explanation,visible_fsm,0.0,0.5
52,hard,explanation,hidden_mm,0.0,0.5
52,hard,explanation,hidden_fsm,0.0,0.5
