condition,fsm,task,beta,sum_log_p
visible_beta,easy,prediction,0.0,-45.15449934959718
visible_beta,easy,prediction,0.05,-41.08442672775067
visible_beta,easy,prediction,0.1,-37.548138972640004
visible_beta,easy,prediction,0.15,-34.53170798345597
visible_beta,easy,prediction,0.2,-32.01301178942845
visible_beta,easy,prediction,0.25,-29.96320169067543
visible_beta,easy,prediction,0.3,-28.348459507694866
visible_beta,easy,prediction,0.35,-27.13183351539965
visible_beta,easy,prediction,0.4,-26.2749694316292
visible_beta,easy,prediction,0.45,-25.73960521028998
visible_beta,easy,prediction,0.5,-25.488758172668547
visible_beta,easy,prediction,0.55,-25.48758643088137
visible_beta,easy,prediction,0.6,-25.703945958011698
visible_beta,easy,prediction,0.65,-26.108688209762754
visible_beta,easy,prediction,0.7,-26.675752991387288
visible_beta,easy,prediction,0.75,-27.382111135670986
visible_beta,easy,prediction,0.8,-28.207605489594183
visible_beta,easy,prediction,0.85,-29.13472993220599
visible_beta,easy,prediction,0.9,-30.148376882822543
visible_beta,easy,prediction,0.95,-31.23557529682376
hidden_beta,easy,prediction,0.0,-45.15449934959718
hidden_beta,easy,prediction,0.05,-43.975095156040915
hidden_beta,easy,prediction,0.1,-43.15236516971135
hidden_beta,easy,prediction,0.15,-42.67924461829396
hidden_beta,easy,prediction,0.2,-42.54439528489527
hidden_beta,easy,prediction,0.25,-42.73280475062507
hidden_beta,easy,prediction,0.3,-43.22652648443195
hidden_beta,easy,prediction,0.35,-44.00548581094217
hidden_beta,easy,prediction,0.4,-45.04828134743819
hidden_beta,easy,prediction,0.45,-46.33292502036426
hidden_beta,easy,prediction,0.5,-47.83748180072558
hidden_beta,easy,prediction,0.55,-49.54058867537407
hidden_beta,easy,prediction,0.6,-51.4218481457423
hidden_beta,easy,prediction,0.65,-53.46210323046997
hidden_beta,easy,prediction,0.7,-55.643608296013525
hidden_beta,easy,prediction,0.75,-57.95011360426576
hidden_beta,easy,prediction,0.8,-60.36688217142267
hidden_beta,easy,prediction,0.85,-62.880656349086685
hidden_beta,easy,prediction,0.9,-65.47958930273373
hidden_beta,easy,prediction,0.95,-68.15315390217931
hidden_beta_an,easy,prediction,0.0,-45.15449934959718
hidden_beta_an,easy,prediction,0.05,-44.57256395329279
hidden_beta_an,easy,prediction,0.1,-44.28922434071094
hidden_beta_an,easy,prediction,0.15,-44.29848371830623
hidden_beta_an,easy,prediction,0.2,-44.590760453343464
hidden_beta_an,easy,prediction,0.25,-45.1534478957857
hidden_beta_an,easy,prediction,0.3,-45.97159320109382
hidden_beta_an,easy,prediction,0.35,-47.02861884215333
hidden_beta_an,easy,prediction,0.4,-48.307018729800554
hidden_beta_an,easy,prediction,0.45,-49.788978056011835
hidden_beta_an,easy,prediction,0.5,-51.456886477715166
hidden_beta_an,easy,prediction,0.55,-53.2937333317093
hidden_beta_an,easy,prediction,0.6,-55.28338835666153
hidden_beta_an,easy,prediction,0.65,-57.41078095258689
hidden_beta_an,easy,prediction,0.7,-59.66199576386697
hidden_beta_an,easy,prediction,0.75,-62.02430346220945
hidden_beta_an,easy,prediction,0.8,-64.48614432003765
hidden_beta_an,easy,prediction,0.85,-67.03707962219471
hidden_beta_an,easy,prediction,0.9,-69.66772298511536
hidden_beta_an,easy,prediction,0.95,-72.36966075664716
visible_beta,hard,prediction,0.0,-45.15449934959718
visible_beta,hard,prediction,0.05,-45.81219602199859
visible_beta,hard,prediction,0.1,-46.98055887931955
visible_beta,hard,prediction,0.15,-48.647173557770465
visible_beta,hard,prediction,0.2,-50.792255754384925
visible_beta,hard,prediction,0.25,-53.3898779628576
visible_beta,hard,prediction,0.3,-56.409453712456056
visible_beta,hard,prediction,0.35,-59.817309783853126
visible_beta,hard,prediction,0.4,-63.57819529344698
visible_beta,hard,prediction,0.45,-67.65661494890085
visible_beta,hard,prediction,0.5,-72.01791960865489
visible_beta,hard,prediction,0.55,-76.62912996047368
visible_beta,hard,prediction,0.6,-81.45950227598478
visible_beta,hard,prediction,0.65,-86.48086665286749
visible_beta,hard,prediction,0.7,-91.66777884669814
visible_beta,hard,prediction,0.75,-96.99752922127388
visible_beta,hard,prediction,0.8,-102.45004937763323
visible_beta,hard,prediction,0.85,-108.00775116680184
visible_beta,hard,prediction,0.9,-113.65532590399695
visible_beta,hard,prediction,0.95,-119.37952486925991
hidden_beta,hard,prediction,0.0,-45.15449934959718
hidden_beta,hard,prediction,0.05,-45.14511606921075
hidden_beta,hard,prediction,0.1,-45.49606181140565
hidden_beta,hard,prediction,0.15,-46.19967745818782
hidden_beta,hard,prediction,0.2,-47.243700347379196
hidden_beta,hard,prediction,0.25,-48.61195083718652
hidden_beta,hard,prediction,0.3,-50.28517416942912
hidden_beta,hard,prediction,0.35,-52.24194853728232
hidden_beta,hard,prediction,0.4,-54.45957723908638
hidden_beta,hard,prediction,0.45,-56.91490037539502
hidden_beta,hard,prediction,0.5,-59.584983954313394
hidden_beta,hard,prediction,0.55,-62.44766634340522
hidden_beta,hard,prediction,0.6,-65.48196028907267
hidden_beta,hard,prediction,0.65,-68.66832167871375
hidden_beta,hard,prediction,0.7,-71.98880383305817
hidden_beta,hard,prediction,0.75,-75.42711928083779
hidden_beta,hard,prediction,0.8,-78.96863093067067
hidden_beta,hard,prediction,0.85,-82.60029253046119
hidden_beta,hard,prediction,0.9,-86.31055528111787
hidden_beta,hard,prediction,0.95,-90.08925415304857
hidden_beta_an,hard,prediction,0.0,-45.15449934959718
hidden_beta_an,hard,prediction,0.05,-44.62887505078381
hidden_beta_an,hard,prediction,0.1,-44.48837032953672
hidden_beta_an,hard,prediction,0.15,-44.72414238013814
hidden_beta_an,hard,prediction,0.2,-45.32209861621762
hidden_beta_an,hard,prediction,0.25,-46.263768939478354
hidden_beta_an,hard,prediction,0.3,-47.52735883230678
hidden_beta_an,hard,prediction,0.35,-49.08886177079274
hidden_beta_an,hard,prediction,0.4,-50.923123427217426
hidden_beta_an,hard,prediction,0.45,-53.0047783704126
hidden_beta_an,hard,prediction,0.5,-55.309013217757624
hidden_beta_an,hard,prediction,0.55,-57.81214077126913
hidden_beta_an,hard,prediction,0.6,-60.49199305285669
hidden_beta_an,hard,prediction,0.65,-63.32815594687683
hidden_beta_an,hard,prediction,0.7,-66.30207518722375
hidden_beta_an,hard,prediction,0.75,-69.39706461335288
hidden_beta_an,hard,prediction,0.8,-72.5982450932715
